African Studies
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
15749,AFRI,200,001,Lecture,3.000,"Introduction to African Studies.",MW,08:35 AM-09:55 AM,100,0,0,0,TBA,09/02-12/04,MCMED 521,Active
,,,,,,,R,08:35 AM-09:55 AM,,,,,TBA,12/04-12/04,MCMED 521,Active
7991,AFRI,401,001,Lecture,3.000,"Swahili Language and Culture.",MTW,05:05 PM-05:55 PM,40,0,0,0,"Angela  Ngaira",09/02-12/04,SH688 491,Active
,,,,,,,R,05:05 PM-05:55 PM,,,,,"Angela  Ngaira",12/04-12/04,SH688 491,Active
10268,AFRI,401,002,Laboratory,0.000,"Swahili Language and Culture.",,TBA,40,0,0,0,TBA,09/02-12/04,TBA,Active
15057,AFRI,480,001,Topics Course,3.000,"Honours Thesis.",,TBA,5,0,0,0,TBA,09/02-12/04,TBA,Active
6979,AFRI,499,001,Internship,3.000,"Arts Internships: African Studies.",,TBA,15,0,0,0,TBA,09/02-12/04,TBA,Active
12465,AFRI,499,002,Internship,3.000,"Arts Internships: African Studies.",,TBA,10,0,0,0,TBA,09/02-12/04,TBA,Active
Anthropology
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
1515,ANTH,201,001,Lecture,3.000,"Prehistoric Archaeology.",TR,01:05 PM-02:25 PM,188,0,0,0,"Maria Theresia  Starzmann",09/02-12/03,LEA 26,Active
1516,ANTH,202,001,Lecture,3.000,"Socio-Cultural Anthropology.",TR,02:35 PM-03:55 PM,333,0,0,0,"Edward Otto Kohn",09/02-12/03,ADAMS AUD,Active
9625,ANTH,206,001,Lecture,3.000,"Environment and Culture.",TRF,10:35 AM-11:25 AM,188,0,0,0,TBA,09/02-12/03,MDHAR G-10,Active
19011,ANTH,227,001,Lecture,3.000,"Medical Anthropology.",TR,08:35 AM-09:55 AM,360,0,0,0,"Sandra Teresa Hyde",09/02-12/03,MCMED 522,Active
11796,ANTH,311,001,Lecture,3.000,"Primate Behaviour and Ecology.",WF,10:05 AM-11:25 AM,140,0,0,0,"Valérie Anna Mylène Schoof",09/02-12/04,RPHYS 112,Active
