Arts Education
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
2132,EDEA,204,001,Studio,3.000,"Drawing.",M,08:35 AM-11:25 AM,18,0,0,0,"Celina  Segal",09/02-12/04,EDUC 632,Active
,,,,,,,R,08:35 AM-11:25 AM,,,,,"Celina  Segal",12/04-12/04,EDUC 632,Active
2133,EDEA,205,001,Studio,3.000,"Painting 2.",M,12:35 PM-03:25 PM,18,0,0,0,"Anne Elizabeth Ashton",09/02-12/04,EDUC 632,Active
,,,,,,,R,12:35 PM-03:25 PM,,,,,"Anne Elizabeth Ashton",12/04-12/04,EDUC 632,Active
2134,EDEA,241,001,Studio,3.000,"Basic Art Media for Classroom.",T,02:35 PM-05:25 PM,35,0,0,0,"Nancy Veronika  Horlik",09/02-12/04,EDUC 437,Active
15012,EDEA,241,002,Break-Out Room,0.000,"Basic Art Media for Classroom.",T,02:35 PM-05:25 PM,16,0,0,0,"Janette Lynn Haggar",09/02-12/04,EDUC 604,Registration Not Required
3832,EDEA,304,001,Studio,3.000,"Painting 3.",M,12:35 PM-03:25 PM,6,0,0,0,"Anne Elizabeth Ashton",09/02-12/04,EDUC 632,Active
,,,,,,,R,12:35 PM-03:25 PM,,,,,"Anne Elizabeth Ashton",12/04-12/04,EDUC 632,Active
4994,EDEA,307,001,Studio,3.000,"Drawing 2.",M,08:35 AM-11:25 AM,6,0,0,0,"Celina  Segal",09/02-12/04,EDUC 632,Active
,,,,,,,R,08:35 AM-11:25 AM,,,,,"Celina  Segal",12/04-12/04,EDUC 632,Active
2135,EDEA,332,001,Lecture,3.000,"Art Curriculum and Instruction - Elementary.",M,08:35 AM-11:25 AM,40,0,0,0,"Janette Lynn Haggar",09/02-12/04,EDUC 437,Active
,,,,,,,R,08:35 AM-11:25 AM,,,,,"Janette Lynn Haggar",12/04-12/04,EDUC 437,Active
11022,EDEA,332,002,Break-Out Room,0.000,"Art Curriculum and Instruction - Elementary.",M,08:35 AM-11:25 AM,20,0,0,0,TBA,09/02-12/04,EDUC 604,Registration Not Required
,,,,,,,R,08:35 AM-11:25 AM,,,,,TBA,12/04-12/04,EDUC 604,Registration Not Required
15805,EDEA,332,003,Lecture,3.000,"Art Curriculum and Instruction - Elementary.",R,11:35 AM-02:25 PM,40,0,0,0,"Renee Elizabeth Jackson",09/02-12/03,EDUC 437,Active
16792,EDEA,332,004,Break-Out Room,0.000,"Art Curriculum and Instruction - Elementary.",R,11:35 AM-02:25 PM,20,0,0,0,TBA,09/02-12/03,EDUC 632,Registration Not Required
13442,EDEA,342,001,Lecture,3.000,"Curriculum and Instruction in Drama Education.",M,11:35 AM-02:25 PM,39,0,0,0,"Mindy Roberta Carter",09/02-12/04,TBA,Active
,,,,,,,R,11:35 AM-02:25 PM,,,,,"Mindy Roberta Carter",12/04-12/04,TBA,Active
3375,EDEA,345,001,Lecture,3.000,"Music Curriculum and Instruction for Generalists.",M,11:35 AM-02:25 PM,40,0,0,0,"Helene  Boucher",09/02-12/04,EDUC 624,Active
