Architecture
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
596,ARCH,201,001,Lecture,6.000,"Communication, Behaviour and Architecture.",T,08:35 AM-10:25 AM,50,0,0,0,"Pierina  Saia, David  Covo",09/02-12/04,MDHAR 212,Active
597,ARCH,201,002,Studio,0.000,"Communication, Behaviour and Architecture.",TR,10:35 AM-12:25 PM,50,0,0,0,"Pierina  Saia, David  Covo",09/02-12/03,MDHAR 214,Active
,,,,,,,TR,01:35 PM-05:25 PM,,,,,"Pierina  Saia, David  Covo",09/02-12/03,MDHAR 214,Active
14681,ARCH,221,001,Field Course (DEPT),2.000,"Architectural Drawing.",R,08:35 AM-10:25 AM,50,0,0,0,"David  Covo, Robert  Mellin",09/02-12/03,MDHAR 212,Active
4244,ARCH,241,001,Lecture,3.000,"Architectural Structures.",M,10:35 AM-12:25 PM,54,0,0,0,"Pieter Hindrik Sijpkes",09/02-12/04,MDHAR 212,Active
,,,,,,,R,10:35 AM-12:25 PM,,,,,"Pieter Hindrik Sijpkes",12/04-12/04,MDHAR 212,Active
4263,ARCH,241,002,Seminar,0.000,"Architectural Structures.",W,09:35 AM-10:25 AM,54,0,0,0,"Pieter Hindrik Sijpkes",09/02-12/04,MDHAR 212,Active
604,ARCH,250,001,Lecture,3.000,"Architectural History 1.",M,08:35 AM-10:25 AM,58,0,0,0,"Ricardo L  Castro",09/02-12/04,MDHAR 212,Active
,,,,,,,W,08:35 AM-09:25 AM,,,,,"Ricardo L  Castro",09/02-12/04,MDHAR 212,Active
,,,,,,,R,08:35 AM-10:25 AM,,,,,"Ricardo L  Castro",12/04-12/04,MDHAR 212,Active
3073,ARCH,250,002,Lecture,3.000,"Architectural History 1.",M,08:35 AM-10:25 AM,5,0,0,0,"Ricardo L  Castro",09/02-12/04,MDHAR 212,Active
,,,,,,,W,08:35 AM-09:25 AM,,,,,"Ricardo L  Castro",09/02-12/04,MDHAR 212,Active
,,,,,,,R,08:35 AM-10:25 AM,,,,,"Ricardo L  Castro",12/04-12/04,MDHAR 212,Active
606,ARCH,303,001,Lecture,6.000,"Design and Construction 1.",TR,10:35 AM-11:25 AM,15,0,0,0,"Howard  Davies",09/02-12/03,MDHAR 212,Active
609,ARCH,303,002,Lecture,6.000,"Design and Construction 1.",TR,11:35 AM-12:25 PM,15,0,0,0,"Ricardo L  Castro",09/02-12/03,MDHAR 212,Active
4261,ARCH,303,003,Lecture,6.000,"Design and Construction 1.",TR,11:05 AM-11:55 AM,15,0,0,0,"Robert  Mellin",09/02-12/03,MDHAR G-01,Active
607,ARCH,303,004,Studio,0.000,"Design and Construction 1.",TR,09:35 AM-10:25 AM,15,0,0,0,"Howard  Davies",09/02-12/03,MDHAR 115,Active
,,,,,,,TR,11:35 AM-12:25 PM,,,,,"Howard  Davies",09/02-12/03,MDHAR 115,Active
,,,,,,,TR,02:05 PM-04:55 PM,,,,,"Howard  Davies",09/02-12/03,MDHAR 115,Active
610,ARCH,303,005,Studio,0.000,"Design and Construction 1.",TR,09:35 AM-11:25 AM,15,0,0,0,"Ricardo L  Castro",09/02-12/03,MDHAR 115,Active
,,,,,,,TR,02:05 PM-04:55 PM,,,,,"Ricardo L  Castro",09/02-12/03,MDHAR 115,Active
