Biology (Agric & Envir Sc)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
1317,AEBI,120,001,Lecture,3.000,"General Biology.",MWF,02:35 PM-03:25 PM,140,0,0,0,"Gary Brian  Dunphy",09/02-12/04,CENTEN 1-163,Active
,,,,,,,R,02:35 PM-03:25 PM,,,,,"Gary Brian  Dunphy",12/04-12/04,CENTEN 1-163,Active
1318,AEBI,120,002,Laboratory,0.000,"General Biology.",R,10:35 AM-12:25 PM,20,0,0,0,"Gary Brian  Dunphy",09/02-12/03,MACSTW B-032,Active
1319,AEBI,120,003,Laboratory,0.000,"General Biology.",T,03:35 PM-05:25 PM,20,0,0,0,"Gary Brian  Dunphy",09/02-12/04,MACSTW B-023,Active
2949,AEBI,120,004,Laboratory,0.000,"General Biology.",W,08:35 AM-10:25 AM,20,0,0,0,"Gary Brian  Dunphy",09/02-12/04,MACSTW B-032,Active
7057,AEBI,120,005,Laboratory,0.000,"General Biology.",W,03:35 PM-05:25 PM,20,0,0,0,"Gary Brian  Dunphy",09/02-12/04,MACSTW B-023,Active
7061,AEBI,120,006,Laboratory,0.000,"General Biology.",F,03:35 PM-05:25 PM,20,0,0,0,"Gary Brian  Dunphy",09/02-12/04,MACSTW B-023,Active
12977,AEBI,120,007,Laboratory,0.000,"General Biology.",R,03:35 PM-05:25 PM,20,0,0,0,"Gary Brian  Dunphy",09/02-12/03,MACSTW B-023,Active
16418,AEBI,120,008,Laboratory,0.000,"General Biology.",R,10:35 AM-12:25 PM,20,0,0,0,"Gary Brian  Dunphy",09/02-12/03,MACSTW B-023,Active
9624,AEBI,210,001,Lecture,3.000,"Organisms 1.",TR,12:35 PM-01:25 PM,135,0,0,0,"Kushalappa Chengappa Ajjamada, Jacqueline Cyra Bede, Danielle J  Donnelly",09/02-12/03,RAYMND 2-046,Active
9649,AEBI,210,002,Laboratory,0.000,"Organisms 1.",T,02:35 PM-05:25 PM,28,0,0,0,"Kushalappa Chengappa Ajjamada, Jacqueline Cyra Bede, Danielle J  Donnelly",09/02-12/04,MACSTW B-032,Active
9650,AEBI,210,003,Laboratory,0.000,"Organisms 1.",T,09:35 AM-12:25 PM,28,0,0,0,"Kushalappa Chengappa Ajjamada, Jacqueline Cyra Bede, Danielle J  Donnelly",09/02-12/04,MACSTW B-020,Active
9651,AEBI,210,004,Laboratory,0.000,"Organisms 1.",T,02:35 PM-05:25 PM,28,0,0,0,"Kushalappa Chengappa Ajjamada, Jacqueline Cyra Bede, Danielle J  Donnelly",09/02-12/04,MACSTW B-020,Active
10113,AEBI,210,005,Laboratory,0.000,"Organisms 1.",T,02:35 PM-05:25 PM,28,0,0,0,"Kushalappa Chengappa Ajjamada, Jacqueline Cyra Bede, Danielle J  Donnelly",09/02-12/04,MACSTW B-027,Active
12752,AEBI,210,006,Laboratory,0.000,"Organisms 1.",T,09:35 AM-12:25 PM,28,0,0,0,"Kushalappa Chengappa Ajjamada, Jacqueline Cyra Bede, Danielle J  Donnelly",09/02-12/04,MACSTW B-032,Active
12753,AEBI,210,007,Laboratory,0.000,"Organisms 1.",T,09:35 AM-12:25 PM,28,0,0,0,"Kushalappa Chengappa Ajjamada, Jacqueline Cyra Bede, Danielle J  Donnelly",09/02-12/04,MACSTW B-027,Active
Chemistry (Agric&EnvirSci)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
9736,AECH,110,001,Lecture,4.000,"General Chemistry 1.",TR,08:35 AM-09:55 AM,150,0,0,0,"Alice D Cherestes",09/02-12/03,RAYMND 2-045,Active
9737,AECH,110,002,Laboratory,0.000,"General Chemistry 1.",F,09:35 AM-12:25 PM,60,0,0,0,"Alice D Cherestes",09/02-12/04,MACSTW B-031,Active
9738,AECH,110,003,Laboratory,0.000,"General Chemistry 1.",T,02:35 PM-05:25 PM,60,0,0,0,"Alice D Cherestes",09/02-12/04,MACSTW B-031,Active
17319,AECH,110,004,Laboratory,0.000,"General Chemistry 1.",R,02:35 PM-05:25 PM,30,0,0,0,"Alice D Cherestes",09/02-12/03,MACSTW B-031,Active
17320,AECH,110,005,Tutorial,0.000,"General Chemistry 1.",R,10:05 AM-10:55 AM,75,0,0,0,"Alice D Cherestes",09/02-12/03,MACSTW B-016,Active
17318,AECH,110,006,Tutorial,0.000,"General Chemistry 1.",M,09:35 AM-10:25 AM,75,0,0,0,"Alice D Cherestes",09/02-12/04,MACSTW B-016,Active
,,,,,,,R,09:35 AM-10:25 AM,,,,,"Alice D Cherestes",12/04-12/04,MACSTW B-016,Active
12265,AECH,118,001,Laboratory,1.000,"General Chemistry Laboratory 1.",,TBA,10,0,0,0,"Alice D Cherestes",09/02-12/04,MACSTW B-031,Active
English (Agric & Envir Sc)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
9807,AEHM,205,001,Lecture,3.000,"Science Literacy.",TBA,TBA,50,0,0,0,TBA,09/02-12/04,TBA,Cancelled
9822,AEHM,205,002,Laboratory,0.000,"Science Literacy.",TBA,TBA,49,0,0,0,TBA,09/02-12/04,TBA,Cancelled
13859,AEHM,205,003,Break-Out Room,0.000,"Science Literacy.",TBA,TBA,24,0,0,0,TBA,09/02-12/04,TBA,Cancelled
1323,AEHM,330,001,Lecture,3.000,"Academic and Scientific Writing.",MW,08:35 AM-09:55 AM,20,0,0,0,"Carole  Newman",09/02-12/04,MACSTW 2-026,Active
,,,,,,,R,08:35 AM-09:55 AM,,,,,"Carole  Newman",12/04-12/04,MACSTW 2-026,Active
Mathematics (Agric&Envir Sci)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
