Accounting
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
6623,ACCT,622,001,Lecture,3.000,"Intermediate Financial Reporting 1.",TR,01:05 PM-02:25 PM,5,0,0,0,"Desmond  Tsang",09/02-12/03,BRONF 179,Active
5379,ACCT,623,001,Lecture,3.000,"Intermediate Financial Reporting 2.",TR,04:05 PM-05:25 PM,5,0,0,0,"Ralph  Cecere",09/02-12/03,BRONF 001,Active
7297,ACCT,624,081,Lecture,3.000,"Management Accounting: Planning & Control.",R,06:05 PM-08:55 PM,5,0,0,0,"Kevin Paul  Parent",09/02-12/03,BRONF 002,Active
19564,ACCT,653,761,Lecture,3.000,"Issues in Professional Accounting 1.",T,06:05 PM-08:55 PM,35,0,0,0,TBA,09/02-11/25,TBA,Active
19223,ACCT,653D2,001,Lecture,1.500,"Issues in Professional Accounting 1.",,TBA,70,0,0,0,"Alexandra  Gauvin Oligny, Kevin Paul  Parent",09/08-12/01,TBA,Active
19225,ACCT,654D2,001,Lecture,1.500,"Issues in Professional Accounting 2.",,TBA,70,0,0,0,"Steve  Fortin, Kevin Paul  Parent",09/03-12/03,TBA,Active
19565,ACCT,663,781,Lecture,3.000,"Strategic Aspects of Accounting 1.",R,06:05 PM-08:55 PM,35,0,0,0,TBA,09/04-11/27,TBA,Active
19224,ACCT,663D2,001,Lecture,1.500,"Strategic Aspects of Accounting 1.",,TBA,70,0,0,0,"Julia  Scott, Samantha  Welscheid, Diana Roccarosa Discepola",09/02-12/02,TBA,Active
19226,ACCT,664D2,001,Lecture,1.500,"Strategic Aspects of Accounting 2.",,TBA,70,0,0,0,"Ryan Adam Abrams, Julia  Scott",09/04-12/04,TBA,Active
933,ACCT,683,061,Lecture,4.000,"Practice of Taxation.",T,06:05 PM-08:55 PM,60,0,0,0,"Alexandra  Gauvin Oligny, Erica  Pimentel",09/04-12/02,BRONF 001,Active
19286,ACCT,687,071,Lecture,4.000,"Assurance Services.",W,06:05 PM-08:55 PM,60,0,0,0,"Mariève  Héroux",09/04-12/02,BRONF 001,Active
14398,ACCT,706,001,Seminar,3.000,"Research Design in Accounting.",W,11:35 AM-02:25 PM,10,0,0,0,"Pavlo  Kalyta, Steve  Fortin",09/02-12/04,BRONF 310,Active
Mathematics (Agric&Envir Sci)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
9581,AEMA,610,001,Lecture,3.000,"Statistical Methods 2.",TRF,08:35 AM-09:25 AM,32,0,0,0,"Roger I  Cue",09/02-12/03,RAYMND 4-047,Active
9582,AEMA,610,002,Laboratory,0.000,"Statistical Methods 2.",T,11:35 AM-01:25 PM,32,0,0,0,"Roger I  Cue",09/02-12/04,RAYMND 3-038,Active
Agricultural Economics
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
18846,AGEC,633,001,Lecture,3.000,"Environmental and Natural Resource Economics.",T,11:35 AM-02:25 PM,20,0,0,0,"Paul  Thomassin",09/02-12/04,BARTON 1-016,Active
1328,AGEC,685,001,Topics Course,3.000,"Selected Topics in Agricultural Economics.",,TBA,20,0,0,0,"Rohit  Singla, John C  Henning",09/02-12/04,TBA,Active
1329,AGEC,690,001,Seminar,1.000,"Seminar.",,TBA,12,0,0,0,"John C  Henning",09/02-12/04,TBA,Active
1330,AGEC,691,001,Thesis Course,6.000,"M.Sc. Thesis 1.",,TBA,20,0,0,0,TBA,09/02-12/04,TBA,Active
1331,AGEC,692,001,Thesis Course,3.000,"M.Sc. Thesis 2.",,TBA,20,0,0,0,TBA,09/02-12/04,TBA,Active
1332,AGEC,693,001,Thesis Course,6.000,"M.Sc. Thesis 3.",,TBA,20,0,0,0,TBA,09/02-12/04,TBA,Active
1334,AGEC,694,001,Thesis Course,6.000,"M.Sc. Thesis 4.",,TBA,20,0,0,0,TBA,09/02-12/04,TBA,Active
1335,AGEC,695,001,Thesis Course,6.000,"M.Sc. Thesis 5.",,TBA,20,0,0,0,TBA,09/02-12/04,TBA,Active
Anatomy & Cell Biology
