Business Law 2
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
71,BUS2,365,001,Lecture,4.000,"Business Associations.",WF,09:35 AM-11:25 AM,75,5,5,0,"Jakub  Adamski",09/02-12/03,CDH 102,Active
19180,BUS2,365,003,Lecture,4.000,"Droit des affaires",TR,01:35 PM-03:25 PM,50,0,0,0,"Richard Alexander Janda",09/02-12/03,CDH 200,Active
13467,BUS2,502,001,Lecture,3.000,"Intellectual & Industrial Property.",F,09:05 AM-11:55 AM,50,0,0,0,"Richard  Gold",09/02-12/04,CDH 201,Active
13468,BUS2,502,009,Lecture,3.000,"Intellectual & Industrial Property.",F,09:05 AM-11:55 AM,10,0,0,0,"Richard  Gold",09/02-12/04,CDH 201,Active
4062,BUS2,505,001,Lecture,3.000,"Corporate Finance.",M,08:35 AM-11:25 AM,30,0,0,0,"Marc  Barbeau",09/02-12/04,CDH 202,Active
,,,,,,,R,08:35 AM-11:25 AM,,,,,"Marc  Barbeau",12/04-12/04,CDH 202,Active
4063,BUS2,505,009,Lecture,3.000,"Corporate Finance.",M,08:35 AM-11:25 AM,5,0,0,0,"Marc  Barbeau",09/02-12/04,CDH 202,Active
,,,,,,,R,08:35 AM-11:25 AM,,,,,"Marc  Barbeau",12/04-12/04,CDH 202,Active
12555,BUS2,531,001,Lecture,3.000,"Banking Law.",MW,08:35 AM-09:55 AM,50,0,0,0,"Marc  Lemieux",09/02-12/03,CDH 101,Active
,,,,,,,R,08:35 AM-09:55 AM,,,,,"Marc  Lemieux",12/04-12/04,CDH 101,Active
12556,BUS2,531,009,Lecture,3.000,"Banking Law.",MW,08:35 AM-09:55 AM,10,0,0,0,"Marc  Lemieux",09/02-12/03,CDH 101,Active
,,,,,,,R,08:35 AM-09:55 AM,,,,,"Marc  Lemieux",12/04-12/04,CDH 101,Active
Comparative Law
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
17378,CMPL,500,001,Seminar,3.000,"Aboriginal Peoples and the Law.",MW,08:35 AM-09:55 AM,25,0,0,0,"Kirsten Jane Anker",09/02-12/04,CDH 203,Active
,,,,,,,R,08:35 AM-09:55 AM,,,,,"Kirsten Jane Anker",12/04-12/04,CDH 203,Active
17379,CMPL,500,009,Seminar,3.000,"Aboriginal Peoples and the Law.",MW,08:35 AM-09:55 AM,5,0,0,0,"Kirsten Jane Anker",09/02-12/04,CDH 203,Active
,,,,,,,R,08:35 AM-09:55 AM,,,,,"Kirsten Jane Anker",12/04-12/04,CDH 203,Active
19209,CMPL,524,001,Lecture,3.000,"Entertainment Law.",F,01:05 PM-03:55 PM,25,0,0,0,"Susan Heather  Abramovitch, Dean Darryl  Chenoy",09/02-09/19,CDH 316,Active
,,,,,,,F,01:05 PM-03:55 PM,,,,,"Susan Heather  Abramovitch, Dean Darryl  Chenoy",09/26-09/26,CDH 312,Active
,,,,,,,F,01:05 PM-03:55 PM,,,,,"Susan Heather  Abramovitch, Dean Darryl  Chenoy",10/03-11/21,CDH 316,Active
,,,,,,,F,01:05 PM-03:55 PM,,,,,"Susan Heather  Abramovitch, Dean Darryl  Chenoy",11/28-11/28,CDH 312,Active
19210,CMPL,524,009,Lecture,3.000,"Entertainment Law.",F,01:05 PM-03:55 PM,5,0,0,0,"Susan Heather  Abramovitch, Dean Darryl  Chenoy",09/02-09/19,CDH 316,Active
,,,,,,,F,01:05 PM-03:55 PM,,,,,"Susan Heather  Abramovitch, Dean Darryl  Chenoy",09/26-09/26,CDH 312,Active
,,,,,,,F,01:05 PM-03:55 PM,,,,,"Susan Heather  Abramovitch, Dean Darryl  Chenoy",10/03-11/21,CDH 316,Active
,,,,,,,F,01:05 PM-03:55 PM,,,,,"Susan Heather  Abramovitch, Dean Darryl  Chenoy",11/28-11/28,CDH 312,Active
12067,CMPL,536,001,Lecture,3.000,"European Union Law 1.",TR,02:35 PM-03:55 PM,40,0,0,0,"Armand  De Mestral",09/02-12/03,CDH 201,Active
12068,CMPL,536,009,Lecture,3.000,"European Union Law 1.",TR,02:35 PM-03:55 PM,10,0,0,0,"Armand  De Mestral",09/02-12/03,CDH 201,Active
13694,CMPL,546,001,Seminar,3.000,"International Environmental Law and Politics.",TR,11:35 AM-12:55 PM,35,0,0,0,"Jaye Dana  Ellis",09/02-12/03,CDH 312,Active
13695,CMPL,546,009,Seminar,3.000,"International Environmental Law and Politics.",TR,11:35 AM-12:55 PM,5,0,0,0,"Jaye Dana  Ellis",09/02-12/03,CDH 312,Active
10189,CMPL,551,001,Seminar,2.000,"Comparative Medical Law.",R,08:35 AM-10:25 AM,20,0,0,0,"Margaret  Somerville",09/02-12/03,CDH 316,Active
10190,CMPL,551,009,Seminar,2.000,"Comparative Medical Law.",R,08:35 AM-10:25 AM,5,0,0,0,"Margaret  Somerville",09/02-12/03,CDH 316,Active
19191,CMPL,553,001,Lecture,3.000,"International Maritime Conventions.",T,04:35 PM-07:25 PM,50,0,0,0,"John G  O'Connor",09/02-12/04,CDH 203,Active
19192,CMPL,553,009,Lecture,3.000,"International Maritime Conventions.",T,04:35 PM-07:25 PM,10,0,0,0,"John G  O'Connor",09/02-12/04,CDH 203,Active
19733,CMPL,568,001,Lecture,3.000,"Extrajudicial Dispute Resolution.",TR,10:05 AM-11:25 AM,29,0,0,0,"Marc Emmett  Gold",09/02-12/03,CDH 202,Active
19734,CMPL,568,009,Lecture,3.000,"Extrajudicial Dispute Resolution.",TR,10:05 AM-11:25 AM,5,0,0,0,"Marc Emmett  Gold",09/02-12/03,CDH 202,Active
19680,CMPL,571,001,Lecture,3.000,"International Law of Human Rights.",TR,11:35 AM-12:55 PM,45,0,0,0,"Rene  Provost",09/02-12/03,CDH 201,Active
19681,CMPL,571,009,Lecture,3.000,"International Law of Human Rights.",TR,11:35 AM-12:55 PM,15,0,0,0,"Rene  Provost",09/02-12/03,CDH 201,Active
16311,CMPL,573,001,Seminar,3.000,"Civil Liberties.",TR,04:05 PM-05:25 PM,22,0,0,0,"Flora Pearl  Eliadis",09/02-12/03,CDH 201,Active
16313,CMPL,573,009,Seminar,3.000,"Civil Liberties.",TR,04:05 PM-05:25 PM,3,0,0,0,"Flora Pearl  Eliadis",09/02-12/03,CDH 201,Active
External
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
2416,EXTL,EXLW,015,Exchange Term Away,0.000,"Exchange Term Away-Law",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2524,EXTL,IULW,001,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2525,EXTL,IULW,002,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2526,EXTL,IULW,003,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2527,EXTL,IULW,004,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2528,EXTL,IULW,005,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2529,EXTL,IULW,006,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2530,EXTL,IULW,007,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2531,EXTL,IULW,008,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
