Accounting
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
925,ACCT,351,001,Lecture,3.000,"Intermediate Financial Accounting 1.",TR,01:05 PM-02:25 PM,45,0,0,0,"Desmond  Tsang",09/02-11/27,BRONF 179,Active
3437,ACCT,351,002,Lecture,3.000,"Intermediate Financial Accounting 1.",TR,10:05 AM-11:25 AM,45,0,0,0,"Desmond  Tsang",09/02-12/03,BRONF 046,Active
3438,ACCT,351,003,Lecture,3.000,"Intermediate Financial Accounting 1.",TR,02:35 PM-03:55 PM,45,0,0,0,"Desmond  Tsang",09/02-12/03,BRONF 046,Active
5542,ACCT,351,004,Lecture,3.000,"Intermediate Financial Accounting 1.",MW,04:05 PM-05:25 PM,45,0,0,0,TBA,09/02-12/03,BRONF 011,Temporarily closed
,,,,,,,R,04:05 PM-05:25 PM,,,,,TBA,12/04-12/04,BRONF 011,Temporarily closed
5335,ACCT,351,781,Lecture,3.000,"Intermediate Financial Accounting 1.",R,06:05 PM-08:55 PM,65,0,0,0,"Trishia Andrea Belafi",09/04-11/27,ARTS 145,Active
5127,ACCT,352,001,Lecture,3.000,"Intermediate Financial Accounting 2.",TR,04:05 PM-05:25 PM,45,0,0,0,"Ralph  Cecere",09/02-12/03,BRONF 001,Active
5362,ACCT,352,781,Lecture,3.000,"Intermediate Financial Accounting 2.",R,06:05 PM-08:55 PM,48,0,0,0,"Kimberly  Ryan",09/04-11/27,ENGMD 280,Active
5385,ACCT,354,001,Lecture,3.000,"Financial Statement Analysis.",TR,10:05 AM-11:25 AM,40,0,0,0,"Julia  Scott",09/02-12/03,BRONF 178,Active
9778,ACCT,354,002,Lecture,3.000,"Financial Statement Analysis.",TR,02:35 PM-03:55 PM,40,0,0,0,"Julia  Scott",09/02-12/03,BRONF 178,Active
15548,ACCT,354,761,Lecture,3.000,"Financial Statement Analysis.",T,06:05 PM-08:55 PM,28,0,0,0,"Roman James Susel",09/02-12/04,BURN 1B39,Active
3439,ACCT,361,001,Lecture,3.000,"Management Accounting.",MW,10:05 AM-11:25 AM,55,0,0,0,"Kevin Paul  Parent",09/02-12/04,BRONF 001,Active
,,,,,,,R,10:05 AM-11:25 AM,,,,,"Kevin Paul  Parent",12/04-12/04,BRONF 001,Active
17115,ACCT,361,002,Lecture,3.000,"Management Accounting.",MW,04:05 PM-05:25 PM,55,0,0,0,"Kevin Paul  Parent",09/02-12/04,BRONF 179,Active
,,,,,,,R,04:05 PM-05:25 PM,,,,,"Kevin Paul  Parent",12/04-12/04,BRONF 179,Active
4027,ACCT,361,081,Lecture,3.000,"Management Accounting.",R,06:05 PM-08:55 PM,50,0,0,0,"Kevin Paul  Parent",09/02-12/03,BRONF 002,Active
16118,ACCT,361,761,Lecture,3.000,"Management Accounting.",T,06:05 PM-08:55 PM,50,0,0,0,TBA,09/02-11/25,WONG 1030,Active
11755,ACCT,362,001,Lecture,3.000,"Cost Accounting.",MW,01:05 PM-02:25 PM,45,0,0,0,"Philippe  Levy",09/02-12/04,BRONF 046,Active
,,,,,,,R,01:05 PM-02:25 PM,,,,,"Philippe  Levy",12/04-12/04,BRONF 046,Active
18899,ACCT,362,761,Lecture,3.000,"Cost Accounting.",T,06:05 PM-08:55 PM,33,0,0,0,"Deirdre  Lapointe",09/02-11/25,ARTS W-20,Active
3465,ACCT,385,001,Lecture,3.000,"Principles of Taxation.",MW,11:35 AM-12:55 PM,50,0,0,0,"Larry  Goldsman",09/02-12/04,BRONF 002,Active
,,,,,,,R,11:35 AM-12:55 PM,,,,,"Larry  Goldsman",12/04-12/04,BRONF 002,Active
5546,ACCT,385,002,Lecture,3.000,"Principles of Taxation.",TR,08:35 AM-09:55 AM,50,0,0,0,"Larry  Goldsman",09/02-12/03,BRONF 045,Active
4065,ACCT,385,751,Lecture,3.000,"Principles of Taxation.",M,06:05 PM-08:55 PM,60,0,0,0,"Maria Caterina Raco",09/02-12/01,RPHYS 114,Active
,,,,,,,R,06:05 PM-08:55 PM,,,,,"Maria Caterina Raco",12/04-12/04,RPHYS 114,Active
18894,ACCT,401,051,Lecture,3.000,"Sustainability and Environmental Accounting.",M,06:05 PM-08:55 PM,35,0,0,0,"Kevin  McMahon, Pavlo  Kalyta",09/02-12/04,BRONF 178,Active
,,,,,,,R,06:05 PM-08:55 PM,,,,,"Kevin  McMahon, Pavlo  Kalyta",12/04-12/04,BRONF 178,Active
4003,ACCT,453,001,Lecture,3.000,"Advanced Financial Accounting.",TR,08:35 AM-09:55 AM,50,0,0,0,"Julia  Scott",09/02-12/03,BRONF 001,Active
4066,ACCT,453,771,Lecture,3.000,"Advanced Financial Accounting.",W,06:05 PM-08:55 PM,40,0,0,0,"Lynn  Degrace",09/03-11/26,ENGTR 2120,Active
6516,ACCT,455,001,Lecture,3.000,"Development of Accounting Thought.",MW,02:35 PM-03:55 PM,40,0,0,0,"Ralph  Cecere",09/02-12/04,BRONF 011,Active
,,,,,,,R,02:35 PM-03:55 PM,,,,,"Ralph  Cecere",12/04-12/04,BRONF 011,Active
5278,ACCT,463,001,Lecture,3.000,"Management Control.",M,08:35 AM-11:25 AM,40,0,0,0,"Philippe  Levy",09/02-12/04,BRONF 178,Active
,,,,,,,R,08:35 AM-11:25 AM,,,,,"Philippe  Levy",12/04-12/04,BRONF 178,Active
18895,ACCT,463,002,Lecture,3.000,"Management Control.",W,08:35 AM-11:25 AM,40,0,0,0,"Philippe  Levy",09/02-12/04,BRONF 178,Active
18901,ACCT,463,761,Lecture,3.000,"Management Control.",T,06:05 PM-08:55 PM,30,0,0,0,"Lynn  Degrace",09/02-11/25,ENGTR 2110,Active
928,ACCT,475,001,Lecture,3.000,"Principles of Auditing.",TR,10:05 AM-11:25 AM,55,0,0,0,"Ralph  Cecere",09/02-12/03,BRONF 179,Active
4004,ACCT,475,002,Lecture,3.000,"Principles of Auditing.",TBA,TBA,35,0,0,0,TBA,09/02-12/04,TBA,Cancelled
18900,ACCT,475,751,Lecture,3.000,"Principles of Auditing.",M,06:05 PM-08:55 PM,30,0,0,0,TBA,09/08-12/01,ENGTR 1090,Active
,,,,,,,R,06:05 PM-08:55 PM,,,,,TBA,12/04-12/04,ENGTR 1090,Active
2360,ACCT,486,001,Lecture,3.000,"Business Taxation 2.",MW,01:05 PM-02:25 PM,45,0,0,0,"Larry  Goldsman",09/02-12/04,BRONF 045,Active
,,,,,,,R,01:05 PM-02:25 PM,,,,,"Larry  Goldsman",12/04-12/04,BRONF 045,Active
4005,ACCT,486,002,Lecture,3.000,"Business Taxation 2.",TR,11:35 AM-12:55 PM,45,0,0,0,"Larry  Goldsman",09/02-12/03,BRONF 046,Active
4068,ACCT,486,751,Lecture,3.000,"Business Taxation 2.",M,06:05 PM-08:55 PM,45,0,0,0,"Jack  Triassi",09/02-12/01,ENGTR 2120,Active
,,,,,,,R,06:05 PM-08:55 PM,,,,,"Jack  Triassi",12/04-12/04,ENGTR 2120,Active
11483,ACCT,486,754,Make up Class,0.000,"Business Taxation 2.",,TBA,0,0,0,0,TBA,09/02-12/04,TBA,Registration Not Required
Business Admin
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
13885,BUSA,100,051,Lecture,3.000,"Introduction to Management.",M,06:05 PM-08:55 PM,100,0,0,0,"Morty  Yalovsky",09/02-12/04,BRONF 151,Active
,,,,,,,R,06:05 PM-08:55 PM,,,,,"Morty  Yalovsky",12/04-12/04,BRONF 151,Active
13881,BUSA,250,001,Lecture,3.000,"Expressive Analysis for Management.",TR,02:35 PM-03:55 PM,25,0,0,0,"Lindsay  Holmgren",09/02-12/03,BRONF 011,Active
13882,BUSA,250,002,Lecture,3.000,"Expressive Analysis for Management.",TR,11:35 AM-12:55 PM,25,0,0,0,"Lindsay  Holmgren",09/02-12/03,BRONF 011,Active
13883,BUSA,250,003,Lecture,3.000,"Expressive Analysis for Management.",TR,08:35 AM-09:55 AM,25,0,0,0,"Lindsay  Holmgren",09/02-12/03,BRONF 011,Active
13884,BUSA,250,004,Lecture,3.000,"Expressive Analysis for Management.",MW,11:35 AM-12:55 PM,25,0,0,0,"Danielle  Barkley",09/02-12/04,BRONF 011,Active
,,,,,,,R,11:35 AM-12:55 PM,,,,,"Danielle  Barkley",12/04-12/04,BRONF 011,Active
9863,BUSA,356,001,Lecture,3.000,"Management in Global Context.",MW,02:35 PM-03:55 PM,40,0,0,0,"Myung-Soo  Jo, Frederick  Stapenhurst",09/02-12/04,BRONF 001,Active
,,,,,,,R,02:35 PM-03:55 PM,,,,,"Myung-Soo  Jo, Frederick  Stapenhurst",12/04-12/04,BRONF 001,Active
9864,BUSA,356,002,Lecture,3.000,"Management in Global Context.",TR,11:35 AM-12:55 PM,40,0,0,0,"Myung-Soo  Jo, Frederick  Stapenhurst",09/02-12/03,BRONF 045,Active
9865,BUSA,356,003,Lecture,3.000,"Management in Global Context.",MW,10:05 AM-11:25 AM,40,0,0,0,"Myung-Soo  Jo, Frederick  Stapenhurst",09/02-12/04,BRONF 046,Active
,,,,,,,R,10:05 AM-11:25 AM,,,,,"Myung-Soo  Jo, Frederick  Stapenhurst",12/04-12/04,BRONF 046,Active
9866,BUSA,356,071,Lecture,3.000,"Management in Global Context.",W,06:05 PM-08:55 PM,40,0,0,0,"Myung-Soo  Jo, Frederick  Stapenhurst",09/02-12/04,BRONF 410,Active
915,BUSA,364,051,Lecture,3.000,"Business Law 1.",M,06:05 PM-08:55 PM,70,0,0,0,"Jocelyn  Perreault",09/02-12/04,BRONF 422,Active
,,,,,,,R,06:05 PM-08:55 PM,,,,,"Jocelyn  Perreault",12/04-12/04,BRONF 422,Active
2033,BUSA,364,771,Lecture,3.000,"Business Law 1.",W,06:05 PM-08:55 PM,42,0,0,0,"Robert  Cox",09/02-12/04,ARTS 145,Active
19035,BUSA,391,071,Lecture,3.000,"International Business Law.",W,06:05 PM-08:55 PM,40,0,0,0,"Leslie A  Beck",09/02-12/04,BRONF 046,Active
916,BUSA,399,001,Field Course (GDEU),1.000,"Internship Project.",,TBA,30,0,0,0,TBA,09/02-12/04,TBA,Active
2766,BUSA,400,001,Independent Study,3.000,"Independent Studies in Management.",,TBA,30,0,0,0,TBA,09/02-12/04,TBA,Active
10487,BUSA,400,002,Independent Study,3.000,"Independent Studies in Management.",,TBA,10,0,0,0,TBA,09/02-12/04,TBA,Active
12832,BUSA,401,001,Independent Study,3.000,"Independent Studies in International Business.",,TBA,30,0,0,0,TBA,09/02-12/04,TBA,Active
19038,BUSA,433,001,Lecture,3.000,"Topics in International Business 1.",MW,11:35 AM-12:55 PM,40,0,0,0,"Frederick  Stapenhurst",09/02-12/04,BRONF 178,Active
,,,,,,,R,11:35 AM-12:55 PM,,,,,"Frederick  Stapenhurst",12/04-12/04,BRONF 178,Active
19130,BUSA,434,001,Lecture,3.000,"Topics in General Management.",,TBA,40,0,0,0,TBA,09/02-12/04,TBA,Cancelled
19131,BUSA,434,002,Lecture,3.000,"Topics in General Management.",,TBA,40,0,0,0,TBA,09/02-12/04,TBA,Cancelled
17612,BUSA,434,051,Lecture,3.000,"Topics in General Management.",,TBA,45,0,0,0,TBA,09/02-12/04,TBA,Cancelled
3517,BUSA,464,771,Lecture,3.000,"Management of Small Enterprises.",W,06:05 PM-08:55 PM,25,0,0,0,"Gary  Whittaker",09/02-12/04,ENGMC 12,Active
