Biomedical Engineering
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
10299,BMDE,508,001,Lecture,3.000,"Introduction to Micro and Nano-Bioengineering.",T,09:05 AM-11:55 AM,18,0,0,0,"David  Juncker",09/02-12/04,DUFF 321,Active
Elective
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
18158,ELEC,400,001,Field Course (GDEU),4.000,"Elective 1 - Clerkships.",TBA,TBA,200,0,0,0,TBA,07/21-11/16,TBA,Active
18050,ELEC,401,001,Field Course (GDEU),3.000,"Elective 2 - Clerkships.",TBA,TBA,200,0,0,0,TBA,07/01-11/16,TBA,Active
18051,ELEC,402,001,Field Course (GDEU),3.000,"Elective 2 - Senior Clerkships.",TBA,TBA,200,0,0,0,TBA,07/01-11/16,TBA,Active
18079,ELEC,403,001,Field Course (GDEU),3.000,"Elective 3 - Senior Clerkships.",TBA,TBA,200,0,0,0,TBA,07/01-11/16,TBA,Active
18080,ELEC,404,001,Field Course (GDEU),3.000,"Elective 4 - Senior Clerkships.",TBA,TBA,200,0,0,0,TBA,07/01-11/16,TBA,Active
Epidemiology & Biostatistics
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
8844,EPIB,507,001,Lecture,3.000,"Biostatistics for Health Professionals.",MW,08:35 AM-09:55 AM,40,0,0,0,"Olli  Miettinen",09/02-12/04,PURVIS 25,Active
14392,EPIB,525,001,Seminar,3.000,"Health Care Systems in Comparative Perspective.",TR,02:35 PM-03:55 PM,15,0,0,0,"Amélie  Quesnel Vallée",09/02-12/04,PURVIS 25,Active
10666,EPIB,528,001,Lecture,3.000,"Economic Evaluation of Health Programs.",MW,08:35 AM-09:55 AM,25,0,0,0,"Eric A  Latimer",09/02-12/04,PURVIS 24,Active
External
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
2418,EXTL,EXMD,015,Exchange Term Away,0.000,"Exchange Term away-Medicine",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2548,EXTL,IUMD,001,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2549,EXTL,IUMD,002,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
