External
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
2420,EXTL,EXMU,015,Exchange Term Away,0.000,"Exchange Term Away-Music",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2572,EXTL,IUMU,001,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2573,EXTL,IUMU,002,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2574,EXTL,IUMU,003,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2575,EXTL,IUMU,004,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2576,EXTL,IUMU,005,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2577,EXTL,IUMU,006,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2578,EXTL,IUMU,007,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2579,EXTL,IUMU,008,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2580,EXTL,IUMU,009,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2581,EXTL,IUMU,010,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2582,EXTL,IUMU,011,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2583,EXTL,IUMU,012,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2438,EXTL,LAMU,001,Leave of Absence,0.000,"Leave of Absence-Music",,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2405,EXTL,TAMU,001,Term Away,0.000,"Term Away-Music",,TBA,999,0,0,0,TBA,09/02-12/04,TBA,Active
Composition
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
1154,MUCO,260,001,Lecture,3.000,"Instruments of the Orchestra.",WF,01:35 PM-02:55 PM,30,0,0,0,"Melissa Ming Sum Hui",09/02-12/04,MUSIC E-109,Active
12096,MUCO,261,001,Lecture,2.000,"Orchestration 1.",MW,03:35 PM-04:55 PM,25,0,0,0,"Denys  Bouliane",09/02-12/04,MUSIC C-411,Active
,,,,,,,R,03:35 PM-04:55 PM,,,,,"Denys  Bouliane",12/04-12/04,TBA,Active
1158,MUCO,340D1,001,Tutorial,2.000,"Composition 2.",,TBA,1,0,0,0,"Brian  Cherney",09/02-12/04,TBA,Active
3649,MUCO,340D1,002,Tutorial,2.000,"Composition 2.",,TBA,1,0,0,0,"Sean Alastair  Ferguson",09/02-12/04,TBA,Active
1159,MUCO,340D1,003,Tutorial,2.000,"Composition 2.",,TBA,1,0,0,0,"Denys  Bouliane",09/02-12/04,TBA,Active
1161,MUCO,340D1,004,Tutorial,2.000,"Composition 2.",,TBA,1,0,0,0,"Jean  Lesage",09/02-12/04,TBA,Active
1163,MUCO,340D1,005,Tutorial,2.000,"Composition 2.",,TBA,3,0,0,0,"Christopher Paul Harman",09/02-12/04,TBA,Active
4642,MUCO,340D1,006,Tutorial,2.000,"Composition 2.",,TBA,1,0,0,0,"Jonathan  Wild",09/02-12/04,TBA,Active
5940,MUCO,340D1,007,Tutorial,2.000,"Composition 2.",,TBA,1,0,0,0,"Christoph  Neidhofer",09/02-12/04,TBA,Active
10814,MUCO,340D1,008,Tutorial,2.000,"Composition 2.",,TBA,1,0,0,0,"John  Rea",09/02-12/04,TBA,Active
14482,MUCO,340D1,009,Tutorial,2.000,"Composition 2.",,TBA,1,0,0,0,"Melissa Ming Sum Hui",09/02-12/04,TBA,Active
15722,MUCO,340D1,010,Tutorial,2.000,"Composition 2.",,TBA,1,0,0,0,"Philippe  Leroux",09/02-12/04,TBA,Active
2227,MUCO,341,001,Lecture,3.000,"Digital Studio Composition 1.",F,08:35 AM-11:25 AM,12,0,0,0,"Philippe  Leroux",09/02-12/04,MUSIC E-518,Active
1164,MUCO,440D1,001,Tutorial,2.000,"Composition 3.",,TBA,3,0,0,0,"Brian  Cherney",09/02-12/04,TBA,Active
1166,MUCO,440D1,002,Tutorial,2.000,"Composition 3.",,TBA,2,0,0,0,"Sean Alastair  Ferguson",09/02-12/04,TBA,Active
3280,MUCO,440D1,003,Tutorial,2.000,"Composition 3.",,TBA,1,0,0,0,"Denys  Bouliane",09/02-12/04,TBA,Active
3650,MUCO,440D1,004,Tutorial,2.000,"Composition 3.",,TBA,1,0,0,0,"Jean  Lesage",09/02-12/04,TBA,Active
1167,MUCO,440D1,005,Tutorial,2.000,"Composition 3.",,TBA,4,0,0,0,"Christopher Paul Harman",09/02-12/04,TBA,Active
4813,MUCO,440D1,006,Tutorial,2.000,"Composition 3.",,TBA,1,0,0,0,"Jonathan  Wild",09/02-12/04,TBA,Active
4814,MUCO,440D1,007,Tutorial,2.000,"Composition 3.",,TBA,3,0,0,0,"Christoph  Neidhofer",09/02-12/04,TBA,Active
10815,MUCO,440D1,008,Tutorial,2.000,"Composition 3.",,TBA,1,0,0,0,"John  Rea",09/02-12/04,TBA,Active
14483,MUCO,440D1,009,Tutorial,2.000,"Composition 3.",,TBA,1,0,0,0,"Melissa Ming Sum Hui",09/02-12/04,TBA,Active
15218,MUCO,440D1,010,Tutorial,2.000,"Composition 3.",,TBA,1,0,0,0,"Philippe  Leroux",09/02-12/04,TBA,Active
13668,MUCO,460,001,Lecture,2.000,"Orchestration 3.",M,01:35 PM-03:25 PM,20,0,0,0,"Christopher Paul Harman",09/02-12/04,MUSIC A-512,Active
,,,,,,,R,01:35 PM-03:25 PM,,,,,"Christopher Paul Harman",12/04-12/04,TBA,Active
3537,MUCO,541,001,Lecture,3.000,"Advanced Digital Studio Composition 1.",R,01:35 PM-04:25 PM,10,0,0,0,"Mario Marlon  Schumacher",09/02-12/03,MUSIC E-518,Active
15649,MUCO,575,001,Lecture,3.000,"Topics in Composition.",TR,01:35 PM-02:55 PM,16,0,0,0,"Brian  Cherney",09/02-12/03,MUSIC C-411,Active
Ensemble
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
1256,MUEN,496,001,Studio,2.000,"Opera Studio.",MTWRF,11:35 AM-01:25 PM,50,0,0,0,"Patrick John Hansen",09/02-12/04,MUSIC WIRTH OS,Active
13227,MUEN,556,001,Studio,1.000,"Introduction to Collaborative Piano 1.",,TBA,20,0,0,0,TBA,09/02-12/04,TBA,Temporarily closed
6529,MUEN,560,001,Studio,1.000,"Chamber Music Ensemble.",,TBA,100,0,0,0,"Douglas  McNabney, Caroline  Lizotte",09/02-12/04,TBA,Active
7557,MUEN,560,002,Studio,1.000,"Chamber Music Ensemble.",,TBA,50,0,0,0,"Kyoko  Hashimoto, Douglas  McNabney",09/02-12/04,TBA,Active
18510,MUEN,560,003,Studio,1.000,"Chamber Music Ensemble.",,TBA,50,0,0,0,"Andrew  Dunn",09/02-12/04,TBA,Active
18546,MUEN,560,022,Studio,1.000,"Chamber Music Ensemble.",,TBA,50,0,0,0,"Alain  Cazes",09/02-12/04,TBA,Temporarily closed
7500,MUEN,560,027,Studio,1.000,"Chamber Music Ensemble.",,TBA,20,0,0,0,"Matt  Haimovitz",09/02-12/04,TBA,Temporarily closed
