External
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
2421,EXTL,EXNU,015,Exchange Term Away,0.000,"Exchange Term Away-Nursing",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2584,EXTL,IUNU,001,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2585,EXTL,IUNU,002,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2586,EXTL,IUNU,003,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2587,EXTL,IUNU,004,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2588,EXTL,IUNU,005,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2589,EXTL,IUNU,006,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2590,EXTL,IUNU,007,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2591,EXTL,IUNU,008,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2592,EXTL,IUNU,009,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2593,EXTL,IUNU,010,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2594,EXTL,IUNU,011,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2595,EXTL,IUNU,012,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2435,EXTL,LANU,001,Leave of Absence,0.000,"Leave of Absence-Nursing",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2406,EXTL,TANU,001,Term Away,0.000,"Term Away-Nursing",TBA,TBA,999,0,0,0,TBA,09/02-12/04,TBA,Active
Health Science Electives
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
34,HSEL,308,001,Lecture,3.000,"Issues in Women's Health.",W,05:35 PM-08:25 PM,85,10,10,0,"Kimani  Daniel",09/02-12/04,STBIO S3/3,Active
Nursing
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
26,NUR1,220,001,Lecture,3.000,"Therapeutic Relationships.",TR,11:35 AM-12:55 PM,145,0,0,0,"Catherine P  Gros, Rosalia  Sanzone",09/02-12/03,RPHYS 112,Active
13796,NUR1,220,002,Conference,0.000,"Therapeutic Relationships.",W,03:35 PM-05:25 PM,145,0,0,0,TBA,09/17-09/17,MNI TIMMINS,Active
4884,NUR1,220,003,Tutorial,0.000,"Therapeutic Relationships.",R,12:35 PM-01:25 PM,19,0,0,0,"Catherine P  Gros",09/02-12/03,WILSON 103,Temporarily closed
5454,NUR1,220,004,Tutorial,0.000,"Therapeutic Relationships.",T,01:35 PM-02:25 PM,19,0,0,0,"Catherine P  Gros",09/02-12/04,WILSON 110,Temporarily closed
5460,NUR1,220,005,Tutorial,0.000,"Therapeutic Relationships.",R,11:35 AM-12:25 PM,19,0,0,0,"Catherine P  Gros",09/02-12/03,WILSON 103,Temporarily closed
17102,NUR1,220,006,Tutorial,0.000,"Therapeutic Relationships.",R,01:35 PM-02:25 PM,19,0,0,0,"Catherine P  Gros",09/02-12/03,WILSON 103,Temporarily closed
17103,NUR1,220,007,Tutorial,0.000,"Therapeutic Relationships.",R,11:35 AM-12:25 PM,19,0,0,0,"Rosalia  Sanzone",09/02-12/03,WILSON 110,Temporarily closed
17104,NUR1,220,008,Tutorial,0.000,"Therapeutic Relationships.",R,12:35 PM-01:25 PM,19,0,0,0,"Rosalia  Sanzone",09/02-12/03,WILSON 110,Temporarily closed
17236,NUR1,220,009,Tutorial,0.000,"Therapeutic Relationships.",T,01:35 PM-02:25 PM,19,0,0,0,"Rosalia  Sanzone",09/02-12/04,WILSON 104,Temporarily closed
17237,NUR1,220,010,Tutorial,0.000,"Therapeutic Relationships.",R,01:35 PM-02:25 PM,19,0,0,0,"Rosalia  Sanzone",09/02-12/03,WILSON 110,Temporarily closed
27,NUR1,222,001,Lecture,1.000,"McGill Model of Nursing.",TR,01:05 PM-02:25 PM,170,0,0,0,"Cheryl  Armistead",09/02-12/03,LEA 219,Active
6522,NUR1,223,001,Lecture,3.000,"Development over the Lifespan.",TR,08:35 AM-09:55 AM,185,0,0,0,"Rosalia  Sanzone",09/02-12/03,LEA 219,Active
6523,NUR1,223,002,Break-Out Room,0.000,"Development over the Lifespan.",TR,08:35 AM-09:55 AM,65,0,0,0,"Rosalia  Sanzone",09/02-12/03,WILSON 105,Registration Not Required
17707,NUR1,239,001,Lecture,3.000,"Health & Physical Assessment 2.",T,08:35 AM-11:25 AM,105,0,0,0,"Sandie Stephanie Larouche",09/02-12/04,STBIO S3/3,Active
17708,NUR1,239,002,Laboratory,0.000,"Health & Physical Assessment 2.",R,11:55 AM-02:15 PM,25,0,0,0,"Rosetta  Antonacci",09/02-12/03,UNVHLL NUR LAB B,Active
17709,NUR1,239,003,Laboratory,0.000,"Health & Physical Assessment 2.",W,12:35 PM-02:55 PM,25,0,0,0,"Rosetta  Antonacci",09/02-12/04,UNVHLL NUR LAB B,Active
