External
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
2422,EXTL,EXPO,015,Exchange Term Away,0.000,"Exchange Term Away-Phys & Occ",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2596,EXTL,IUPO,001,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2597,EXTL,IUPO,002,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2598,EXTL,IUPO,003,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2599,EXTL,IUPO,004,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2600,EXTL,IUPO,005,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2601,EXTL,IUPO,006,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2602,EXTL,IUPO,007,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2603,EXTL,IUPO,008,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2604,EXTL,IUPO,009,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2605,EXTL,IUPO,010,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2606,EXTL,IUPO,011,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2607,EXTL,IUPO,012,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
2437,EXTL,LAPO,001,Leave of Absence,0.000,"Leave of Absence-Phys & Occ Th",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
Occupational Therapy
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
11543,OCC1,245,002,Lecture,3.000,"Occupational Therapy Seminars.",R,08:35 AM-11:25 AM,45,0,0,0,"Crystal  Garnett, Cynthia  Perlman",09/02-12/03,MCMED 1034,Active
14564,OCC1,245,003,Break-Out Room,0.000,"Occupational Therapy Seminars.",R,08:35 AM-11:25 AM,60,0,0,0,"Cynthia  Perlman",09/02-12/03,MCMED 1027,Registration Not Required
13516,OCC1,501,001,Practicum,7.000,"Clinical Practicum 1.",,TBA,20,0,0,0,"Caroline  Storr, Susanne  Mak",09/02-12/04,TBA,Active
13517,OCC1,502,001,Practicum,7.000,"Clinical Practicum 2.",,TBA,10,0,0,0,"Caroline  Storr, Susanne  Mak",09/02-12/04,TBA,Active
13518,OCC1,503,001,Practicum,7.000,"Clinical Practicum 3.",,TBA,10,0,0,0,"Caroline  Storr, Susanne  Mak",09/02-12/04,TBA,Active
7980,OCC1,545,001,Lecture,8.000,"Therapeutic Strategies in OT 1.",MWF,08:35 AM-09:55 AM,80,0,0,0,"Marie-Eve  Bolduc, Susanne  Mak, Tokiko  Hamasaki, Barbara  Shankland, Bernadette  Nedelec, Nancy  Forget",09/02-12/04,MCMED 1034,Active
,,,,,,,R,08:35 AM-09:55 AM,,,,,"Marie-Eve  Bolduc, Susanne  Mak, Tokiko  Hamasaki, Barbara  Shankland, Bernadette  Nedelec, Nancy  Forget",12/04-12/04,MCMED 1034,Active
7981,OCC1,545,002,Workshop,0.000,"Therapeutic Strategies in OT 1.",MW,10:35 AM-12:25 PM,80,0,0,0,"Marie-Eve  Bolduc, Susanne  Mak, Nancy  Forget, Tokiko  Hamasaki, Aliki  Thomas, Andrew B  Christopher, Franzina  Coutinho, Bernadette  Nedelec",09/02-12/04,MCMED 208/9,Active
,,,,,,,F,10:35 AM-12:25 PM,,,,,"Marie-Eve  Bolduc, Susanne  Mak, Nancy  Forget, Tokiko  Hamasaki, Aliki  Thomas, Andrew B  Christopher, Franzina  Coutinho, Bernadette  Nedelec",09/02-12/04,MCMED 206/7,Active
,,,,,,,R,10:35 AM-12:25 PM,,,,,"Marie-Eve  Bolduc, Susanne  Mak, Nancy  Forget, Tokiko  Hamasaki, Aliki  Thomas, Andrew B  Christopher, Franzina  Coutinho, Bernadette  Nedelec",12/04-12/04,TBA,Active
8258,OCC1,545,003,Seminar,0.000,"Therapeutic Strategies in OT 1.",MWF,10:35 AM-12:55 PM,80,0,0,0,"Marie-Eve  Bolduc, Susanne  Mak, Nancy  Forget, Tokiko  Hamasaki, Aliki  Thomas, Andrew B  Christopher, Franzina  Coutinho, Bernadette  Nedelec",09/02-12/04,HOSMER 105,Active
,,,,,,,MWF,02:05 PM-04:25 PM,,,,,"Marie-Eve  Bolduc, Susanne  Mak, Nancy  Forget, Tokiko  Hamasaki, Aliki  Thomas, Andrew B  Christopher, Franzina  Coutinho, Bernadette  Nedelec",09/02-12/04,HOSMER 105,Active
,,,,,,,R,10:35 AM-12:55 PM,,,,,"Marie-Eve  Bolduc, Susanne  Mak, Nancy  Forget, Tokiko  Hamasaki, Aliki  Thomas, Andrew B  Christopher, Franzina  Coutinho, Bernadette  Nedelec",12/04-12/04,HOSMER 105,Active
,,,,,,,R,02:05 PM-04:25 PM,,,,,"Marie-Eve  Bolduc, Susanne  Mak, Nancy  Forget, Tokiko  Hamasaki, Aliki  Thomas, Andrew B  Christopher, Franzina  Coutinho, Bernadette  Nedelec",12/04-12/04,HOSMER 105,Active
8463,OCC1,545,004,Laboratory,0.000,"Therapeutic Strategies in OT 1.",R,11:05 AM-12:55 PM,80,0,0,0,"Marie-Eve  Bolduc, Susanne  Mak, Nancy  Forget, Tokiko  Hamasaki, Aliki  Thomas, Andrew B  Christopher, Franzina  Coutinho, Bernadette  Nedelec",09/02-12/03,HOSMER 105,Active
8464,OCC1,545,005,Break-Out Room,0.000,"Therapeutic Strategies in OT 1.",MWF,02:05 PM-04:25 PM,5,0,0,0,"Marie-Eve  Bolduc, Bernadette  Nedelec, Susanne  Mak",09/02-12/04,HOSMER 104,Registration Not Required
,,,,,,,M,10:35 AM-12:55 PM,,,,,"Marie-Eve  Bolduc, Bernadette  Nedelec, Susanne  Mak",09/02-12/04,HOSMER 104,Registration Not Required
,,,,,,,W,10:35 AM-12:55 PM,,,,,"Marie-Eve  Bolduc, Bernadette  Nedelec, Susanne  Mak",09/02-12/04,HOSMER 104,Registration Not Required
,,,,,,,R,11:05 AM-12:55 PM,,,,,"Marie-Eve  Bolduc, Bernadette  Nedelec, Susanne  Mak",09/02-12/03,HOSMER 16,Registration Not Required
