External
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
2436,EXTL,LAPD,001,Leave of Absence,0.000,"Leave of Absence-Post Doc",TBA,TBA,100,0,0,0,TBA,09/02-12/04,TBA,Active
Postdoctoral
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
18931,PDOC,PDOC,001,Registration Crs Open Learning,0.000,"1 Week Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18934,PDOC,PDOC,002,Registration Crs Open Learning,0.000,"2 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18936,PDOC,PDOC,003,Registration Crs Open Learning,0.000,"3 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18938,PDOC,PDOC,004,Registration Crs Open Learning,0.000,"4 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18939,PDOC,PDOC,005,Registration Crs Open Learning,0.000,"5 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18940,PDOC,PDOC,006,Registration Crs Open Learning,0.000,"6 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18941,PDOC,PDOC,007,Registration Crs Open Learning,0.000,"7 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18942,PDOC,PDOC,008,Registration Crs Open Learning,0.000,"8 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18943,PDOC,PDOC,009,Registration Crs Open Learning,0.000,"9 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18944,PDOC,PDOC,010,Registration Crs Open Learning,0.000,"10 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18945,PDOC,PDOC,011,Registration Crs Open Learning,0.000,"11 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18946,PDOC,PDOC,012,Registration Crs Open Learning,0.000,"12 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18947,PDOC,PDOC,013,Registration Crs Open Learning,0.000,"13 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18948,PDOC,PDOC,014,Registration Crs Open Learning,0.000,"14 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18949,PDOC,PDOC,015,Registration Crs Open Learning,0.000,"15 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18950,PDOC,PDOC,016,Registration Crs Open Learning,0.000,"16 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18951,PDOC,PDOC,017,Registration Crs Open Learning,0.000,"17 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
18952,PDOC,PDOC,018,Registration Crs Open Learning,0.000,"18 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
