Anatomy & Cell Biology
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
735,ANAT,214,001,Lecture,3.000,"Systemic Human Anatomy.",MW,02:35 PM-03:25 PM,235,0,0,0,"Louis  Hermo",09/02-12/04,SADB M-1,Active
,,,,,,,R,02:35 PM-03:25 PM,,,,,"Louis  Hermo",12/04-12/04,SADB M-1,Active
736,ANAT,214,002,Laboratory,0.000,"Systemic Human Anatomy.",M,09:35 AM-11:25 AM,80,0,0,0,"Louis  Hermo",09/02-12/04,SADB 2/49,Active
,,,,,,,R,09:35 AM-11:25 AM,,,,,"Louis  Hermo",12/04-12/04,SADB 2/49,Active
737,ANAT,214,003,Laboratory,0.000,"Systemic Human Anatomy.",T,02:35 PM-04:25 PM,80,0,0,0,"Louis  Hermo",09/02-12/04,SADB 2/49,Active
6725,ANAT,214,005,Laboratory,0.000,"Systemic Human Anatomy.",T,09:35 AM-11:25 AM,80,0,0,0,"Louis  Hermo",09/02-12/04,SADB 2/49,Active
738,ANAT,261,001,Lecture,4.000,"Introduction to Dynamic Histology.",TR,11:35 AM-12:55 PM,320,0,0,0,"Craig A.  Mandato",09/02-12/03,ADAMS AUD,Active
739,ANAT,261,002,Laboratory,0.000,"Introduction to Dynamic Histology.",T,02:35 PM-04:25 PM,120,0,0,0,"Craig A.  Mandato, Carlos R  Morales",09/02-12/04,SADB 1/56,Active
740,ANAT,261,003,Laboratory,0.000,"Introduction to Dynamic Histology.",M,02:35 PM-04:25 PM,115,0,0,0,"Craig A.  Mandato, Carlos R  Morales",09/02-12/04,SADB 1/56,Active
,,,,,,,R,02:35 PM-04:25 PM,,,,,"Craig A.  Mandato, Carlos R  Morales",12/04-12/04,SADB 1/56,Active
6839,ANAT,261,004,Laboratory,0.000,"Introduction to Dynamic Histology.",R,02:35 PM-04:25 PM,115,0,0,0,"Craig A.  Mandato, Carlos R  Morales",09/02-12/03,SADB 1/56,Active
741,ANAT,315,001,Lecture,3.000,"Anatomy/Limbs and Back.",TR,02:35 PM-03:25 PM,180,0,0,0,"David J  Pearsall",09/02-12/03,SADB M-1,Active
742,ANAT,315,002,Laboratory,0.000,"Anatomy/Limbs and Back.",F,08:35 AM-10:25 AM,80,0,0,0,"David J  Pearsall",09/02-12/03,SADB 2/49,Active
19128,ANAT,315,003,Laboratory,0.000,"Anatomy/Limbs and Back.",F,10:35 AM-12:25 PM,101,0,0,0,"David J  Pearsall",09/02-12/04,SADB 2/49,Active
