African Studies
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
4441,AFRI,598,001,Seminar,3.000,"Research Seminar in African Studies.",MW,01:05 PM-02:25 PM,20,0,0,0,"Victor Corey Wright",01/05-04/14,SH688 451,Active
Anthropology
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
10980,ANTH,209,001,Lecture,3.000,"Anthropology of Religion.",MWF,02:35 PM-03:25 PM,188,0,0,0,"Katherine  Lemons",01/05-04/14,MDHAR G-10,Active
,,,,,,,T,02:35 PM-03:25 PM,,,,,"Katherine  Lemons",04/14-04/14,MDHAR G-10,Active
11694,ANTH,210,001,Lecture,3.000,"Archaeology of Early Cities.",TR,08:35 AM-09:55 AM,160,0,0,0,"Nicole Claire Couture",01/05-04/13,DUFF THTR 1,Active
12947,ANTH,222,001,Lecture,3.000,"Legal Anthropology.",TR,04:05 PM-05:25 PM,155,0,0,0,"Ronald  Niezen",01/05-04/13,BRONF 151,Active
14479,ANTH,302,001,Lecture,3.000,"New Horizons in Medical Anthropology.",TR,02:35 PM-03:55 PM,120,20,0,20,"Tobias  Rees",01/05-04/13,MAASS 10,Active
14200,ANTH,325,001,Lecture,3.000,"Anthropology of the Self.",TR,01:05 PM-02:25 PM,80,0,0,0,"Margaret Elizabeth Stevenson",01/05-04/13,RPHYS 118,Active
8160,ANTH,330,001,Lecture,3.000,"Traditional Whaling Societies.",TR,04:05 PM-05:25 PM,40,0,0,0,"James M  Savelle",01/05-04/13,BIRKS 111,Active
14194,ANTH,339,001,Lecture,3.000,"Ecological Anthropology.",MW,08:35 AM-09:55 AM,160,0,0,0,"Colin H  Scott",01/05-04/14,LEA 26,Active
11228,ANTH,343,001,Lecture,3.000,"Anthropology and the Animal.",MW,02:35 PM-03:55 PM,80,0,0,0,"Edward Otto Kohn",01/05-04/14,RPHYS 118,Active
2090,ANTH,355,001,Lecture,3.000,"Theories of Culture and Society.",WF,10:05 AM-11:25 AM,80,0,0,0,TBA,01/05-04/14,SADB 1/12,Active
,,,,,,,T,10:05 AM-11:25 AM,,,,,TBA,04/14-04/14,SADB 1/12,Active
11708,ANTH,359,001,Lecture,3.000,"History of Archaeological Theory.",MW,08:35 AM-09:55 AM,40,0,0,0,"Nicole Claire Couture",01/05-04/14,ARTS 150,Active
14195,ANTH,360,001,Lecture,3.000,"Archaeology of Ancient China.",MW,04:05 PM-05:25 PM,60,0,0,0,"Gwen Patrice  Bennett",01/05-04/14,MAASS 217,Active
12135,ANTH,380,001,Reading Course,3.000,"Special Topic 1.",TBA,TBA,60,0,0,0,TBA,01/05-04/14,TBA,Active
12950,ANTH,381,001,Topics Course,3.000,"Special Topic 2.",TR,04:05 PM-05:25 PM,80,0,0,0,"Andre  Costopoulos",01/05-04/13,ENGMD 276,Active
12983,ANTH,382,001,Topics Course,3.000,"Special Topic 3.",MW,02:35 PM-03:55 PM,25,0,0,0,"Maria Theresia  Starzmann",01/05-04/14,LEA 110,Active
4280,ANTH,411,001,Lecture,3.000,"Primate Studies & Conservation.",,TBA,18,0,0,0,"Valérie Anna Mylène Schoof",01/05-04/14,TBA,Temporarily closed
14201,ANTH,413,001,Seminar,3.000,"Gender in Archaeology.",M,08:35 AM-11:25 AM,20,0,0,0,"Maria Theresia  Starzmann",01/05-04/14,LEA 721,Active
1559,ANTH,416,001,Seminar,3.000,"Environment/Development: Africa.",,TBA,18,0,0,0,"John  Galaty",01/05-04/14,TBA,Temporarily closed
14350,ANTH,423,001,Lecture,3.000,"Mind, Brain and Psychopathology.",T,02:35 PM-05:25 PM,20,0,0,0,"Allan  Young",01/05-04/13,EDUC 434,Active
14197,ANTH,436,001,Seminar,3.000,"North American Native Peoples.",MW,02:35 PM-03:55 PM,25,0,0,0,"Colin H  Scott",01/05-04/14,EDUC 437,Active
14351,ANTH,438,001,Seminar,3.000,"Topics in Medical Anthropology.",R,02:35 PM-05:25 PM,20,0,0,0,"Allan  Young",01/05-04/14,PL3647 101,Active
12957,ANTH,458,001,Seminar,3.000,"Archaeology of the Silk Roads.",F,02:35 PM-05:25 PM,20,0,0,0,"Gwen Patrice  Bennett",01/05-04/14,LEA 15,Active
,,,,,,,T,02:35 PM-05:25 PM,,,,,"Gwen Patrice  Bennett",04/14-04/14,LEA 15,Active
14203,ANTH,480,001,Lecture,3.000,"Special Topic 5.",W,02:35 PM-05:25 PM,25,0,0,0,"Margaret Elizabeth Stevenson",01/05-04/14,LEA 109,Active
11711,ANTH,481,004,Topics Course,3.000,"Special Topic 6.",,TBA,25,0,0,0,TBA,01/05-04/14,TBA,Active
14528,ANTH,490,001,Thesis Course,6.000,"Honours Thesis.",,TBA,20,0,0,0,"Edward Otto Kohn",01/05-04/14,TBA,Active
