Accountancy
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
2058,CACC,520,781,Lecture,3.000,"Accounting for Management.",R,06:05 PM-08:55 PM,59,0,0,0,TBA,01/05-04/14,ARTS W-120,Temporarily closed
9707,CACC,521,781,Lecture,3.000,"Concepts of Financial Accounting.",R,06:05 PM-08:55 PM,50,0,0,0,TBA,01/05-04/14,ARTS W-20,Temporarily closed
13435,CACC,523,771,Lecture,3.000,"Financial Aspects of Health Care.",W,06:05 PM-08:55 PM,30,0,0,0,TBA,01/05-04/14,LEA 210,Temporarily closed
Business
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
14002,CBUS,100,001,Lecture,4.000,"Condominium Financial Management in Quebec.",TR,06:05 PM-08:55 PM,35,0,0,0,TBA,03/31-04/13,TBA,Active
,,,,,,,TR,06:05 PM-08:55 PM,,,,,TBA,04/15-04/30,TBA,Active
14003,CBUS,102,002,Lecture,4.000,"Condominium Law in Quebec.",TR,06:05 PM-08:55 PM,35,0,0,0,TBA,02/17-04/13,TBA,Active
,,,,,,,TR,06:05 PM-08:55 PM,,,,,TBA,04/15-04/30,TBA,Active
14004,CBUS,105,003,Lecture,4.000,"Gestion technique du bâtiment de la copropriété.",W,06:05 PM-08:55 PM,35,0,0,0,TBA,03/11-04/15,TBA,Active
12031,CBUS,204,771,Lecture,6.000,"Effective Public Speaking.",W,06:05 PM-08:55 PM,30,0,0,0,"Monica  Carbonneau",01/14-03/18,TBA,Active
12716,CBUS,210D1,761,Lecture,8.000,"Comprehensive Business Analysis.",T,06:05 PM-08:55 PM,35,0,0,0,"Georges  Bryson, Robert William  Abbott",02/03-04/13,BURN 511,Active
,,,,,,,T,06:05 PM-08:55 PM,,,,,"Georges  Bryson, Robert William  Abbott",04/15-04/28,BURN 511,Active
12712,CBUS,210D2,751,Lecture,8.000,"Comprehensive Business Analysis.",M,06:05 PM-08:55 PM,35,0,0,0,"Georges  Bryson, Robert William  Abbott",01/05-02/16,BURN 511,Active
Auditing (SCS)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
14106,CCAU,511,751,Lecture,3.000,"Auditing 1.",M,06:05 PM-08:55 PM,30,0,0,0,TBA,01/05-04/14,LEA 210,Temporarily closed
Computer Science (SCS)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
2035,CCCS,300,781,Lecture,3.000,"Programming Techniques 1.",R,06:05 PM-08:55 PM,35,0,0,0,TBA,01/05-04/14,LEA 109,Temporarily closed
2036,CCCS,301,751,Lecture,3.000,"Programming Techniques 2.",M,06:05 PM-08:55 PM,30,0,0,0,TBA,01/05-04/14,ENGMD 279,Temporarily closed
5128,CCCS,310,781,Lecture,3.000,"Web Development.",R,06:05 PM-08:55 PM,50,0,0,0,TBA,01/05-04/14,ENGMD 280,Temporarily closed
4209,CCCS,315,761,Lecture,3.000,"Data Structures and Algorithms.",T,06:05 PM-08:55 PM,30,0,0,0,TBA,01/05-04/13,ENGMC 304,Temporarily closed
4210,CCCS,431,771,Lecture,3.000,"Networking Fundamentals.",W,06:05 PM-08:55 PM,25,0,0,0,TBA,01/05-04/14,LEA 116,Temporarily closed
Financial Accounting (SCS)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
4825,CCFC,511,781,Lecture,3.000,"Financial Accounting 1.",R,06:05 PM-08:55 PM,60,0,0,0,TBA,01/05-04/14,ENGMD 279,Temporarily closed
4826,CCFC,512,781,Lecture,3.000,"Financial Accounting 2.",R,06:05 PM-08:55 PM,60,0,0,0,TBA,01/05-04/14,RPHYS 114,Temporarily closed
2018,CCFC,513,771,Lecture,3.000,"Financial Accounting 3.",W,06:05 PM-08:55 PM,95,0,0,0,TBA,01/05-04/14,ARTS W-120,Temporarily closed
14108,CCFC,514,771,Lecture,3.000,"Accounting Theory and Practice.",W,06:05 PM-08:55 PM,30,0,0,0,TBA,01/05-04/14,ARTS W-20,Temporarily closed
Law (SCS)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
13840,CCLW,511,771,Lecture,3.000,"Law 1.",W,06:05 PM-08:55 PM,20,0,0,0,TBA,01/05-04/14,ENGTR 0100,Temporarily closed
Managerial Accounting (SCS)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
12306,CCMA,511,761,Lecture,3.000,"Managerial Accounting 1.",T,06:05 PM-08:55 PM,45,0,0,0,TBA,01/05-04/13,RPHYS 114,Temporarily closed
14110,CCMA,522,761,Lecture,3.000,"Managerial Accounting 2.",T,06:05 PM-08:55 PM,30,0,0,0,TBA,01/05-04/13,ENGTR 0100,Temporarily closed
14111,CCMA,523,761,Lecture,3.000,"Managerial Accounting 3.",T,06:05 PM-08:55 PM,30,0,0,0,TBA,01/05-04/13,BURN 1B45,Temporarily closed
Communication (SCS)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
9402,CCOM,205,751,Lecture,3.000,"Communication in Management 1.",M,06:05 PM-08:55 PM,30,10,0,10,TBA,01/05-04/14,TBA,Active
9510,CCOM,205,761,Lecture,3.000,"Communication in Management 1.",T,06:05 PM-08:55 PM,30,10,0,10,TBA,01/05-04/13,TBA,Active
9511,CCOM,205,781,Lecture,3.000,"Communication in Management 1.",R,06:05 PM-08:55 PM,30,10,0,10,TBA,01/05-04/14,TBA,Active
9403,CCOM,206,701,Lecture,3.000,"Communication in Engineering.",TR,02:35 PM-03:55 PM,25,10,0,10,TBA,01/05-04/13,SH688 491,Active
9512,CCOM,206,702,Lecture,3.000,"Communication in Engineering.",WF,04:05 PM-05:25 PM,25,10,0,10,TBA,01/05-04/14,SH688 395,Active
,,,,,,,T,04:05 PM-05:25 PM,,,,,TBA,04/14-04/14,SH688 395,Active
9513,CCOM,206,703,Lecture,3.000,"Communication in Engineering.",WF,02:35 PM-03:55 PM,25,10,0,10,TBA,01/05-04/14,SH688 395,Active
,,,,,,,T,02:35 PM-03:55 PM,,,,,TBA,04/14-04/14,SH688 395,Active
9514,CCOM,206,704,Lecture,3.000,"Communication in Engineering.",WF,02:35 PM-03:55 PM,25,10,0,10,TBA,01/05-04/14,SH688 223,Active
,,,,,,,T,02:35 PM-03:55 PM,,,,,TBA,04/14-04/14,SH688 223,Active
9515,CCOM,206,705,Lecture,3.000,"Communication in Engineering.",TR,01:05 PM-02:25 PM,25,10,1,9,TBA,01/05-04/13,SH688 365,Active
11256,CCOM,206,706,Lecture,3.000,"Communication in Engineering.",TR,02:35 PM-03:55 PM,25,10,0,10,TBA,01/05-04/13,SH688 295,Active
11262,CCOM,206,707,Lecture,3.000,"Communication in Engineering.",MW,04:05 PM-05:25 PM,25,10,0,10,TBA,01/05-04/14,SH688 295,Active
11263,CCOM,206,708,Lecture,3.000,"Communication in Engineering.",MW,04:05 PM-05:25 PM,25,10,0,10,TBA,01/05-04/14,SH688 223,Active
