Arts Education
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
4177,EDEA,204,001,Studio,3.000,"Drawing.",M,05:35 PM-08:25 PM,18,0,0,0,"Celina  Segal",01/05-04/14,EDUC 632,Active
5475,EDEA,205,001,Studio,3.000,"Painting 2.",M,08:35 AM-11:25 AM,18,0,0,0,"Anne Elizabeth Ashton",01/05-04/14,EDUC 632,Active
3039,EDEA,241,001,Studio,3.000,"Basic Art Media for Classroom.",M,11:35 AM-02:25 PM,35,0,0,0,TBA,01/05-04/14,EDUC 613,Active
11636,EDEA,241,002,Studio,3.000,"Basic Art Media for Classroom.",M,08:35 AM-11:25 AM,35,0,0,0,TBA,01/05-04/14,EDUC 604,Active
2068,EDEA,296,001,Studio,3.000,"Basic Design.",T,02:35 PM-05:25 PM,35,0,0,0,"Celina  Segal",01/05-04/13,EDUC 437,Active
6609,EDEA,304,001,Studio,3.000,"Painting 3.",M,08:35 AM-11:25 AM,6,0,0,0,"Anne Elizabeth Ashton",01/05-04/14,EDUC 632,Active
4460,EDEA,307,001,Studio,3.000,"Drawing 2.",M,05:35 PM-08:25 PM,6,0,0,0,"Celina  Segal",01/05-04/14,EDUC 632,Active
2069,EDEA,332,001,Lecture,3.000,"Art Curriculum and Instruction - Elementary.",MW,11:35 AM-02:25 PM,40,0,0,0,"Renee Elizabeth Jackson",01/05-02/13,EDUC 434,Active
2067,EDEA,342,001,Lecture,3.000,"Curriculum and Instruction in Drama Education.",MW,11:35 AM-02:25 PM,40,0,0,0,"Mindy Roberta Carter",01/05-02/13,TBA,Active
3351,EDEA,345,001,Lecture,3.000,"Music Curriculum and Instruction for Generalists.",MW,02:35 PM-05:25 PM,40,0,0,0,"Helene  Boucher",01/05-02/13,EDUC 624,Active
4297,EDEA,407,001,Seminar,3.000,"Final Year Professional Seminar Music.",MW,02:35 PM-05:25 PM,20,0,0,0,"Lisa J Starr",01/05-02/13,EDUC 338,Active
3033,EDEA,472,001,Lecture,3.000,"Methods in Music Education 2.",TR,08:35 AM-11:25 AM,20,0,0,0,"Lisa Marie  Lorenzino, Helene  Boucher",01/05-02/13,EDUC 624,Active
Curriculum and Instruction
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
9422,EDEC,202,001,Lecture,3.000,"Effective Communication.",,TBA,90,0,0,0,"Lisa  Trimble",01/05-04/14,NOROOM NEEDED,Active
7935,EDEC,203,001,Lecture,3.000,"Communication in Education.",T,02:35 PM-05:25 PM,50,0,0,0,"Doreen  Starke-Meyerring",01/05-04/13,EDUC 211,Active
7936,EDEC,203,002,Lecture,3.000,"Communication in Education.",MW,11:35 AM-12:55 PM,50,0,0,0,TBA,01/05-04/14,EDUC 216,Active
3397,EDEC,248,001,Lecture,3.000,"Multicultural Education.",MW,04:05 PM-05:25 PM,60,0,0,0,"Donna Lee  Smith",01/05-04/14,STBIO S1/3,Active
3554,EDEC,248,002,Lecture,3.000,"Multicultural Education.",MW,04:05 PM-05:25 PM,40,0,0,0,"Donna Lee  Smith",01/05-04/14,STBIO S1/3,Active
3555,EDEC,260,001,Lecture,3.000,"Philosophical Foundations.",W,08:35 AM-11:25 AM,120,0,0,0,"Kevin Michael  McDonough",01/05-04/14,LEA 219,Active
4289,EDEC,260,002,Lecture,3.000,"Philosophical Foundations.",W,08:35 AM-11:25 AM,30,0,0,0,"Kevin Michael  McDonough",01/05-04/14,LEA 219,Active
3346,EDEC,262,001,Lecture,3.000,"Media, Technology and Education.",M,08:35 AM-11:25 AM,72,0,0,0,TBA,01/05-04/14,EDUC 627,Active
9074,EDEC,262,002,Lecture,3.000,"Media, Technology and Education.",R,02:35 PM-05:25 PM,62,0,0,0,TBA,01/05-04/14,EDUC 627,Active
3456,EDEC,262,003,Lecture,3.000,"Media, Technology and Education.",R,02:35 PM-05:25 PM,10,0,0,0,TBA,01/05-04/14,EDUC 627,Active
3451,EDEC,262,004,Lecture,3.000,"Media, Technology and Education.",F,11:35 AM-02:25 PM,62,0,0,0,TBA,01/05-04/14,EDUC 627,Active
,,,,,,,T,11:35 AM-02:25 PM,,,,,TBA,04/14-04/14,EDUC 627,Active
3455,EDEC,262,005,Lecture,3.000,"Media, Technology and Education.",F,11:35 AM-02:25 PM,10,0,0,0,TBA,01/05-04/14,EDUC 627,Active
,,,,,,,T,11:35 AM-02:25 PM,,,,,TBA,04/14-04/14,EDUC 627,Active
3453,EDEC,262,006,Lecture,3.000,"Media, Technology and Education.",F,02:35 PM-05:25 PM,62,0,0,0,"Lisa  Trimble",01/05-04/14,EDUC 627,Active
,,,,,,,T,02:35 PM-05:25 PM,,,,,"Lisa  Trimble",04/14-04/14,EDUC 627,Active
3347,EDEC,262,007,Lecture,3.000,"Media, Technology and Education.",F,02:35 PM-05:25 PM,10,0,0,0,"Lisa  Trimble",01/05-04/14,EDUC 627,Active
,,,,,,,T,02:35 PM-05:25 PM,,,,,"Lisa  Trimble",04/14-04/14,EDUC 627,Active
4298,EDEC,404,001,Seminar,3.000,"Fourth Year Professional Seminar (Sec).",MW,02:35 PM-05:25 PM,15,0,0,0,"Lisa J Starr",01/05-02/13,EDUC 338,Active
3553,EDEC,404,002,Seminar,3.000,"Fourth Year Professional Seminar (Sec).",MW,02:35 PM-05:25 PM,35,0,0,0,TBA,01/05-02/13,EDUC 629,Active
4387,EDEC,404,003,Seminar,3.000,"Fourth Year Professional Seminar (Sec).",MW,02:35 PM-05:25 PM,35,0,0,0,TBA,01/05-02/13,EDUC 431,Active
5477,EDEC,405,001,Seminar,3.000,"Fourth Year Professional Seminar (K/Elem).",MW,08:35 AM-11:25 AM,35,0,0,0,"Jon G  Bradley",01/05-02/13,EDUC 338,Active
5478,EDEC,405,002,Seminar,3.000,"Fourth Year Professional Seminar (K/Elem).",MW,11:35 AM-02:25 PM,35,0,0,0,"Sylvia  Sklar",01/05-02/13,EDUC 338,Active
5479,EDEC,405,003,Seminar,3.000,"Fourth Year Professional Seminar (K/Elem).",TR,11:35 AM-02:25 PM,35,0,0,0,TBA,01/05-02/13,EDUC 434,Active
5480,EDEC,405,004,Seminar,3.000,"Fourth Year Professional Seminar (K/Elem).",TR,02:35 PM-05:25 PM,35,0,0,0,TBA,01/05-02/13,EDUC 338,Active
Elementary Education
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
999,EDEE,223,001,Lecture,3.000,"Language Arts.",M,08:35 AM-11:25 AM,65,0,0,0,"Lesley  Pasquin",01/05-04/14,EDUC 216,Active
1001,EDEE,223,002,Lecture,3.000,"Language Arts.",T,02:35 PM-05:25 PM,65,0,0,0,TBA,01/05-04/13,EDUC 216,Active
2702,EDEE,250,001,Lecture,2.000,"The Kindergarten Classroom.",T,08:35 AM-10:25 AM,65,0,0,0,TBA,01/05-04/13,EDUC 216,Active
2717,EDEE,250,002,Lecture,2.000,"The Kindergarten Classroom.",T,10:35 AM-12:25 PM,65,0,0,0,TBA,01/05-04/13,EDUC 216,Active
11684,EDEE,260,001,Lecture,3.000,"Reading Methods - Early Childhood.",T,05:35 PM-08:25 PM,50,0,0,0,"Mary H  Maguire",01/05-04/13,EDUC 216,Active
11685,EDEE,260,002,Lecture,3.000,"Reading Methods - Early Childhood.",M,11:35 AM-02:25 PM,50,0,0,0,"Teresa  Strong",01/05-04/14,EDUC 211,Active
12186,EDEE,260,003,Lecture,3.000,"Reading Methods - Early Childhood.",M,05:35 PM-08:25 PM,50,0,0,0,"Robert Samuel Savage",01/05-04/14,EDUC 216,Active
5690,EDEE,275,001,Lecture,2.000,"Science Teaching.",M,11:35 AM-12:55 PM,130,0,0,0,TBA,01/05-04/14,STBIO S1/3,Active
5691,EDEE,275,002,Laboratory,0.000,"Science Teaching.",R,02:35 PM-03:55 PM,26,0,0,0,TBA,01/05-04/14,EDUC 358,Active
5692,EDEE,275,003,Laboratory,0.000,"Science Teaching.",W,08:35 AM-09:55 AM,26,0,0,0,TBA,01/05-04/14,EDUC 358,Active
5693,EDEE,275,004,Laboratory,0.000,"Science Teaching.",W,11:35 AM-12:55 PM,26,0,0,0,TBA,01/05-04/14,EDUC 358,Active
5694,EDEE,275,005,Laboratory,0.000,"Science Teaching.",R,11:35 AM-12:55 PM,26,0,0,0,TBA,01/05-04/14,EDUC 358,Active
5695,EDEE,275,006,Laboratory,0.000,"Science Teaching.",R,08:35 AM-09:55 AM,26,0,0,0,TBA,01/05-04/14,EDUC 358,Active
2827,EDEE,280,001,Lecture,3.000,"Geography, History and Citizenship Education.",TR,01:05 PM-02:25 PM,130,0,0,0,"Boghos  Zanazanian",01/05-04/13,SADB 2/36,Active
2704,EDEE,282,001,Lecture,2.000,"Teaching Social Sciences.",F,08:35 AM-10:25 AM,65,0,0,0,"Jon G  Bradley",01/05-04/14,EDUC 216,Active
,,,,,,,T,08:35 AM-10:25 AM,,,,,"Jon G  Bradley",04/14-04/14,EDUC 216,Active
2705,EDEE,282,002,Lecture,2.000,"Teaching Social Sciences.",F,10:35 AM-12:25 PM,65,0,0,0,"Jon G  Bradley",01/05-04/14,EDUC 216,Active
,,,,,,,T,10:35 AM-12:25 PM,,,,,"Jon G  Bradley",04/14-04/14,EDUC 216,Active
3394,EDEE,325,001,Lecture,3.000,"Children's Literature.",F,02:35 PM-05:25 PM,70,0,0,0,"Donna Lee  Smith",01/05-04/14,STBIO S1/3,Active
,,,,,,,T,02:35 PM-05:25 PM,,,,,"Donna Lee  Smith",04/14-04/14,STBIO S1/3,Active
7951,EDEE,325,002,Lecture,3.000,"Children's Literature.",F,02:35 PM-05:25 PM,20,0,0,0,"Donna Lee  Smith",01/05-04/14,STBIO S1/3,Active
,,,,,,,T,02:35 PM-05:25 PM,,,,,"Donna Lee  Smith",04/14-04/14,STBIO S1/3,Active
