Architecture
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
395,ARCH,202,001,Lecture,6.000,"Architectural Graphics and Elements of Design.",T,08:35 AM-10:25 AM,51,0,0,0,"David  Covo",01/05-04/13,MDHAR 212,Active
396,ARCH,202,002,Studio,0.000,"Architectural Graphics and Elements of Design.",TR,02:05 PM-04:55 PM,51,0,0,0,"David  Covo",01/05-04/13,MDHAR 214,Active
,,,,,,,T,10:35 AM-12:25 PM,,,,,"David  Covo",01/05-04/13,MDHAR 214,Active
,,,,,,,R,09:35 AM-12:25 PM,,,,,"David  Covo",01/05-04/14,MDHAR 214,Active
399,ARCH,240,001,Lecture,3.000,"Organization of Materials in Buildings.",W,02:35 PM-05:25 PM,55,0,0,0,"Abraham  Friedman",01/05-04/14,MDHAR 212,Active
400,ARCH,240,002,Studio,0.000,"Organization of Materials in Buildings.",W,01:35 PM-02:25 PM,55,0,0,0,"Abraham  Friedman",01/05-04/14,MDHAR 214,Active
401,ARCH,251,001,Lecture,3.000,"Architectural History 2.",M,02:35 PM-04:25 PM,55,0,0,0,"Aysenur Ipek Türeli",01/05-04/14,MDHAR 212,Active
402,ARCH,251,002,Seminar,0.000,"Architectural History 2.",W,10:35 AM-11:25 AM,27,0,0,0,"Aysenur Ipek Türeli",01/05-04/14,MDHAR 420,Active
403,ARCH,251,003,Seminar,0.000,"Architectural History 2.",W,09:35 AM-10:25 AM,28,0,0,0,"Aysenur Ipek Türeli",01/05-04/14,MDHAR 420,Active
2900,ARCH,251,004,Lecture,3.000,"Architectural History 2.",M,02:35 PM-04:25 PM,5,0,0,0,"Aysenur Ipek Türeli",01/05-04/14,MDHAR 212,Active
2910,ARCH,251,005,Seminar,0.000,"Architectural History 2.",W,10:35 AM-11:25 AM,3,0,0,0,"Aysenur Ipek Türeli",01/05-04/14,MDHAR 420,Active
2911,ARCH,251,006,Seminar,0.000,"Architectural History 2.",W,09:35 AM-10:25 AM,2,0,0,0,"Aysenur Ipek Türeli",01/05-04/14,MDHAR 420,Active
404,ARCH,304,001,Lecture,6.000,"Design and Construction 2.",TR,10:35 AM-11:25 AM,16,0,0,0,"David William Newton",01/05-04/13,MDHAR 212,Active
405,ARCH,304,002,Lecture,6.000,"Design and Construction 2.",TR,11:35 AM-12:25 PM,16,0,0,0,"Ricardo L  Castro",01/05-04/13,MDHAR 212,Active
3647,ARCH,304,003,Lecture,6.000,"Design and Construction 2.",TR,10:05 AM-10:55 AM,15,0,0,0,"Abraham  Friedman",01/05-04/13,MDHAR G-01,Active
