Accounting
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
12894,ACCT,618,001,Lecture,3.000,"Financial Reporting: Structure & Analysis.",MW,10:05 AM-11:25 AM,40,0,0,0,"Steve  Fortin",01/05-04/14,BRONF 340,Active
2113,ACCT,619,081,Lecture,3.000,"Financial Reporting: Valuation.",R,06:05 PM-08:55 PM,5,0,0,0,TBA,01/05-04/14,BRONF 423,Active
4589,ACCT,622,001,Lecture,3.000,"Intermediate Financial Reporting 1.",TR,11:35 AM-12:55 PM,5,0,0,0,TBA,01/05-04/13,BRONF 045,Active
14569,ACCT,653,761,Lecture,3.000,"Issues in Professional Accounting 1.",T,06:05 PM-08:55 PM,30,0,0,0,TBA,01/06-04/07,TBA,Temporarily closed
14570,ACCT,654,751,Lecture,3.000,"Issues in Professional Accounting 2.",M,06:05 PM-08:55 PM,30,0,0,0,TBA,01/05-04/06,TBA,Temporarily closed
14571,ACCT,663,781,Lecture,3.000,"Strategic Aspects of Accounting 1.",R,06:05 PM-08:55 PM,30,0,0,0,TBA,01/08-04/09,TBA,Temporarily closed
14572,ACCT,664,771,Lecture,3.000,"Strategic Aspects of Accounting 2.",W,06:05 PM-08:55 PM,30,0,0,0,TBA,01/07-04/08,TBA,Temporarily closed
14498,ACCT,705,001,Seminar,3.000,"Seminar in Accounting.",T,10:05 AM-12:55 PM,8,0,0,0,"Pavlo  Kalyta",01/05-04/13,BRONF 310,Active
Mathematics (Agric&Envir Sci)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
12971,AEMA,611,001,Lecture,3.000,"Experimental Designs 1.",,TBA,30,0,0,0,"Pierre R L  Dutilleul",01/05-04/14,TBA,Cancelled
12972,AEMA,611,002,Conference,0.000,"Experimental Designs 1.",,TBA,30,0,0,0,"Pierre R L  Dutilleul",01/05-04/14,TBA,Active
14199,AEMA,614,001,Lecture,3.000,"Temporal and Spatial Statistics 1.",TR,08:35 AM-09:55 AM,16,0,0,0,"Pierre R L  Dutilleul",01/05-04/13,RAYMND 3-048,Active
Agricultural Economics
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
4541,AGEC,630,001,Lecture,3.000,"Food and Agricultural Policy.",F,01:05 PM-03:55 PM,5,0,0,0,"John C  Henning",01/05-04/14,RAYMND 3-011,Active
,,,,,,,T,01:05 PM-03:55 PM,,,,,"John C  Henning",04/14-04/14,RAYMND 3-011,Active
1336,AGEC,642,001,Lecture,3.000,"Economics of Agricultural Development.",TR,01:05 PM-02:25 PM,10,0,0,0,TBA,01/05-04/13,RAYMND 3-048,Temporarily closed
1337,AGEC,685,001,Topics Course,3.000,"Selected Topics in Agricultural Economics.",,TBA,10,0,0,0,"John C  Henning",01/05-04/14,TBA,Active
1338,AGEC,690,001,Seminar,1.000,"Seminar.",,TBA,25,0,0,0,"John C  Henning",01/05-04/14,TBA,Active
1339,AGEC,691,001,Thesis Course,6.000,"M.Sc. Thesis 1.",,TBA,25,0,0,0,TBA,01/05-04/14,TBA,Active
1340,AGEC,692,001,Thesis Course,3.000,"M.Sc. Thesis 2.",,TBA,25,0,0,0,TBA,01/05-04/14,TBA,Active
