Business Law 1
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
2921,BUS1,432,001,Lecture,3.000,"Bankruptcy and Insolvency.",F,08:35 AM-11:25 AM,45,0,0,0,"Kenneth S  Atlas",01/05-04/14,EDUC 211,Active
,,,,,,,T,08:35 AM-11:25 AM,,,,,"Kenneth S  Atlas",04/14-04/14,EDUC 211,Active
Business Law 2
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
10773,BUS2,365,001,Lecture,4.000,"Business Associations.",TR,02:35 PM-04:25 PM,75,5,4,1,"Paul B Miller",01/05-04/13,CDH 100,Active
13160,BUS2,501,001,Seminar,3.000,"Patent Theory and Policy.",M,08:35 AM-11:25 AM,25,0,0,0,"Richard  Gold",01/05-04/14,CDH 202,Active
13161,BUS2,501,009,Seminar,3.000,"Patent Theory and Policy.",M,08:35 AM-11:25 AM,5,0,0,0,"Richard  Gold",01/05-04/14,CDH 202,Active
13156,BUS2,502,003,Lecture,3.000,"Propriété intellectuelle",TR,04:05 PM-05:25 PM,50,0,0,0,"David  Lametti",01/05-04/13,CDH 101,Active
13157,BUS2,502,010,Lecture,3.000,"Propriété intellectuelle",TR,04:05 PM-05:25 PM,10,0,0,0,"David  Lametti",01/05-04/13,CDH 101,Active
14672,BUS2,561,003,Lecture,3.000,"Droit de l¿assurance",W,02:35 PM-05:25 PM,25,0,0,0,TBA,01/05-04/14,CDH 201,Active
14673,BUS2,561,010,Lecture,3.000,"Droit de l'assurance",W,02:35 PM-05:25 PM,5,0,0,0,TBA,01/05-04/14,CDH 201,Active
Comparative Law
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
14391,CMPL,501,001,Lecture,3.000,"Jurisprudence.",W,02:35 PM-05:25 PM,20,0,0,0,"Evan Thane Fox-Decent",01/05-04/14,CDH 312,Active
14392,CMPL,501,009,Lecture,3.000,"Jurisprudence.",W,02:35 PM-05:25 PM,5,0,0,0,"Evan Thane Fox-Decent",01/05-04/14,CDH 312,Active
13158,CMPL,506,001,Seminar,3.000,"Legal Theory.",TR,02:35 PM-03:55 PM,20,0,0,0,"Mark  Antaki",01/05-04/13,CDH 312,Active
13159,CMPL,506,009,Seminar,3.000,"Legal Theory.",TR,02:35 PM-03:55 PM,5,0,0,0,"Mark  Antaki",01/05-04/13,CDH 312,Active
12346,CMPL,513,001,Lecture,3.000,"Talmudic Law.",TR,11:35 AM-12:55 PM,25,0,0,0,"Michael  Whitman",01/05-04/13,CDH 202,Active
12347,CMPL,513,009,Lecture,3.000,"Talmudic Law.",TR,11:35 AM-12:55 PM,5,0,0,0,"Michael  Whitman",01/05-04/13,CDH 202,Active
