Accounting
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
3093,ACCT,351,001,Lecture,3.000,"Intermediate Financial Accounting 1.",TR,11:35 AM-12:55 PM,40,0,0,0,TBA,01/05-04/13,BRONF 045,Active
13288,ACCT,351,002,Lecture,3.000,"Intermediate Financial Accounting 1.",TR,02:35 PM-03:55 PM,40,0,0,0,TBA,01/05-04/13,BRONF 423,Active
4581,ACCT,351,781,Lecture,3.000,"Intermediate Financial Accounting 1.",R,06:05 PM-08:55 PM,60,0,0,0,TBA,01/05-04/14,ARTS 260,Temporarily closed
3581,ACCT,352,001,Lecture,3.000,"Intermediate Financial Accounting 2.",MW,11:35 AM-12:55 PM,45,0,0,0,"Zvi  Singer",01/05-04/14,BRONF 001,Active
3094,ACCT,352,002,Lecture,3.000,"Intermediate Financial Accounting 2.",MW,10:05 AM-11:25 AM,45,0,0,0,"Zvi  Singer",01/05-04/14,BRONF 002,Active
893,ACCT,352,003,Lecture,3.000,"Intermediate Financial Accounting 2.",TR,08:35 AM-09:55 AM,45,0,0,0,TBA,01/05-04/13,BRONF 045,Temporarily closed
4582,ACCT,352,781,Lecture,3.000,"Intermediate Financial Accounting 2.",R,06:05 PM-08:55 PM,50,0,0,0,TBA,01/05-04/14,ARTS 145,Temporarily closed
5617,ACCT,354,001,Lecture,3.000,"Financial Statement Analysis.",MW,02:35 PM-03:55 PM,45,0,0,0,"Steve  Fortin",01/05-04/14,BRONF 001,Active
4597,ACCT,354,002,Lecture,3.000,"Financial Statement Analysis.",MW,04:05 PM-05:25 PM,45,0,0,0,"Steve  Fortin",01/05-04/14,BRONF 423,Active
11746,ACCT,354,761,Lecture,3.000,"Financial Statement Analysis.",T,06:05 PM-08:55 PM,50,0,0,0,TBA,01/05-04/13,ARTS W-20,Temporarily closed
3582,ACCT,361,051,Lecture,3.000,"Management Accounting.",M,06:05 PM-08:55 PM,45,0,0,0,"Pavlo  Kalyta",01/05-04/14,BRONF 045,Active
12297,ACCT,361,761,Lecture,3.000,"Management Accounting.",T,06:05 PM-08:55 PM,40,0,0,0,TBA,01/05-04/13,TBA,Temporarily closed
900,ACCT,362,001,Lecture,3.000,"Cost Accounting.",MW,11:35 AM-12:55 PM,45,0,0,0,"Jingjing  Zhang",01/05-04/14,BRONF 045,Active
3095,ACCT,362,002,Lecture,3.000,"Cost Accounting.",MW,04:05 PM-05:25 PM,45,0,0,0,"Jingjing  Zhang",01/05-04/14,BRONF 045,Active
3096,ACCT,362,003,Lecture,3.000,"Cost Accounting.",MW,01:05 PM-02:25 PM,45,0,0,0,"Jingjing  Zhang",01/05-04/14,BRONF 045,Active
14136,ACCT,362,761,Lecture,3.000,"Cost Accounting.",T,06:05 PM-08:55 PM,30,0,0,0,TBA,01/05-04/13,ENGMC 204,Temporarily closed
901,ACCT,385,001,Lecture,3.000,"Principles of Taxation.",MW,10:05 AM-11:25 AM,45,0,0,0,"Larry  Goldsman",01/05-04/14,BRONF 045,Active
3148,ACCT,385,002,Lecture,3.000,"Principles of Taxation.",MW,02:35 PM-03:55 PM,45,0,0,0,"Larry  Goldsman",01/05-04/14,BRONF 045,Active
4201,ACCT,385,751,Lecture,3.000,"Principles of Taxation.",M,06:05 PM-08:55 PM,60,0,0,0,TBA,01/05-04/13,ENGMD 280,Temporarily closed
4598,ACCT,452,081,Lecture,3.000,"Financial Reporting Valuation.",R,06:05 PM-08:55 PM,25,0,0,0,TBA,01/05-04/14,BRONF 423,Active
5618,ACCT,453,001,Lecture,3.000,"Advanced Financial Accounting.",TR,08:35 AM-09:55 AM,45,0,0,0,"Julia  Scott",01/05-04/13,BRONF 046,Active
4202,ACCT,453,771,Lecture,3.000,"Advanced Financial Accounting.",W,06:05 PM-08:55 PM,50,0,0,0,TBA,01/05-04/14,WONG 1030,Temporarily closed
902,ACCT,455,001,Lecture,3.000,"Development of Accounting Thought.",TR,11:35 AM-12:55 PM,45,0,0,0,"Zvi  Singer",01/05-04/13,BRONF 002,Active
5922,ACCT,455,002,Lecture,3.000,"Development of Accounting Thought.",TR,01:05 PM-02:25 PM,45,0,0,0,"Zvi  Singer",01/05-04/13,BRONF 045,Active
14140,ACCT,455,771,Lecture,3.000,"Development of Accounting Thought.",T,06:05 PM-08:55 PM,30,0,0,0,TBA,01/05-04/13,MDHAR G-10,Temporarily closed
4500,ACCT,463,001,Lecture,3.000,"Management Control.",R,02:35 PM-05:25 PM,45,0,0,0,"Philippe  Levy",01/05-04/14,BRONF 422,Active
14142,ACCT,463,761,Lecture,3.000,"Management Control.",T,06:05 PM-08:55 PM,30,0,0,0,TBA,01/05-04/13,ENGMC 13,Temporarily closed
9037,ACCT,471,001,Lecture,3.000,"Non-Profit Accounting.",TR,08:35 AM-09:55 AM,35,0,0,0,TBA,01/05-04/13,BRONF 422,Active
9054,ACCT,475,001,Lecture,3.000,"Principles of Auditing.",T,02:35 PM-05:25 PM,35,0,0,0,"Ralph  Cecere",01/05-04/13,BRONF 178,Active
14138,ACCT,475,751,Lecture,3.000,"Principles of Auditing.",M,06:05 PM-08:55 PM,30,0,0,0,TBA,01/05-04/14,BRONF 178,Temporarily closed
10839,ACCT,476,081,Lecture,3.000,"Internal Auditing.",R,06:05 PM-08:55 PM,35,0,0,0,TBA,01/05-04/14,BRONF 178,Active
9762,ACCT,477,001,Lecture,3.000,"External Auditing.",TR,01:05 PM-02:25 PM,35,0,0,0,TBA,01/05-04/13,BRONF 410,Active
5619,ACCT,486,001,Lecture,3.000,"Business Taxation 2.",TR,10:05 AM-11:25 AM,45,0,0,0,"Larry  Goldsman",01/05-04/13,BRONF 045,Active
4207,ACCT,486,751,Lecture,3.000,"Business Taxation 2.",M,06:05 PM-08:55 PM,50,0,0,0,TBA,01/05-04/14,RPHYS 114,Temporarily closed
Business Admin
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
10738,BUSA,100,051,Lecture,3.000,"Introduction to Management.",M,06:05 PM-08:55 PM,95,0,0,0,"Morty  Yalovsky",01/05-04/14,BRONF 151,Active
10734,BUSA,250,001,Lecture,3.000,"Expressive Analysis for Management.",TR,11:35 AM-12:55 PM,30,0,0,0,"Lindsay  Holmgren",01/05-04/13,BRONF 011,Active
10735,BUSA,250,002,Lecture,3.000,"Expressive Analysis for Management.",TR,02:35 PM-03:55 PM,30,0,0,0,"Lindsay  Holmgren",01/05-04/13,BRONF 011,Active
14497,BUSA,250,003,Lecture,3.000,"Expressive Analysis for Management.",TR,04:05 PM-05:25 PM,30,0,0,0,"Lindsay  Holmgren",01/05-04/13,BRONF 011,Active
10736,BUSA,250,004,Lecture,3.000,"Expressive Analysis for Management.",MW,02:35 PM-03:55 PM,30,0,0,0,TBA,01/05-04/14,BRONF 011,Temporarily closed
7891,BUSA,356,001,Lecture,3.000,"Management in Global Context.",TR,10:05 AM-11:25 AM,40,0,0,0,"Frederick  Stapenhurst",01/05-04/13,BRONF 422,Active
7885,BUSA,364,051,Lecture,3.000,"Business Law 1.",M,06:05 PM-08:55 PM,65,0,0,0,TBA,01/05-04/14,BRONF 179,Active
1979,BUSA,364,771,Lecture,3.000,"Business Law 1.",W,06:05 PM-08:55 PM,70,0,0,0,TBA,01/05-04/14,ARTS 145,Temporarily closed
3506,BUSA,391,071,Lecture,3.000,"International Business Law.",W,06:05 PM-08:55 PM,40,0,0,0,"Leslie A  Beck",01/05-04/14,BRONF 178,Active
6050,BUSA,394,081,Lecture,3.000,"Managing in Asia.",R,06:05 PM-08:55 PM,40,0,0,0,"William C  Polushin",01/05-04/14,BRONF 410,Active
10230,BUSA,399,001,Field Course (GDEU),1.000,"Internship Project.",,TBA,0,0,0,0,TBA,01/05-04/14,TBA,Active
2258,BUSA,400,061,Independent Study,3.000,"Independent Studies in Management.",,TBA,25,0,0,0,TBA,01/05-04/14,TBA,Active
