External
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
2341,EXTL,EXMU,015,Exchange Term Away,0.000,"Exchange Term Away-Music",,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2492,EXTL,IUMU,001,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2493,EXTL,IUMU,002,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2494,EXTL,IUMU,003,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2495,EXTL,IUMU,004,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2496,EXTL,IUMU,005,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2497,EXTL,IUMU,006,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2498,EXTL,IUMU,007,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2499,EXTL,IUMU,008,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2500,EXTL,IUMU,009,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2501,EXTL,IUMU,010,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2502,EXTL,IUMU,011,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2503,EXTL,IUMU,012,Inter-University Transfer Crse,0.000,"Inter-University Transfer",,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2355,EXTL,LAMU,001,Leave of Absence,0.000,"Leave of Absence-Music",,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2326,EXTL,TAMU,001,Term Away,0.000,"Term Away-Music",,TBA,999,0,0,0,TBA,01/05-04/14,TBA,Active
Composition
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
10834,MUCO,230,001,Lecture,3.000,"The Art of Composition.",MW,01:35 PM-02:55 PM,30,0,0,0,"Melissa Ming Sum Hui",01/05-04/14,MUSIC C-204,Active
1096,MUCO,340D2,001,Tutorial,2.000,"Composition 2.",,TBA,1,0,0,0,"Brian  Cherney",01/05-04/14,TBA,Active
3252,MUCO,340D2,002,Tutorial,2.000,"Composition 2.",,TBA,1,0,0,0,"Sean Alastair  Ferguson",01/05-04/14,TBA,Active
1100,MUCO,340D2,003,Tutorial,2.000,"Composition 2.",,TBA,1,0,0,0,"Denys  Bouliane",01/05-04/14,TBA,Active
1102,MUCO,340D2,004,Tutorial,2.000,"Composition 2.",,TBA,1,0,0,0,"Jean  Lesage",01/05-04/14,TBA,Active
1111,MUCO,340D2,005,Tutorial,2.000,"Composition 2.",,TBA,3,0,0,0,"Christopher Paul Harman",01/05-04/14,TBA,Active
3962,MUCO,340D2,006,Tutorial,2.000,"Composition 2.",,TBA,1,0,0,0,"Jonathan  Wild",01/05-04/14,TBA,Active
4741,MUCO,340D2,007,Tutorial,2.000,"Composition 2.",,TBA,1,0,0,0,"Christoph  Neidhofer",01/05-04/14,TBA,Active
