External
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
2343,EXTL,EXPO,015,Exchange Term Away,0.000,"Exchange Term Away-Phys & Occ",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2516,EXTL,IUPO,001,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2517,EXTL,IUPO,002,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2518,EXTL,IUPO,003,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2519,EXTL,IUPO,004,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2520,EXTL,IUPO,005,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2521,EXTL,IUPO,006,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2522,EXTL,IUPO,007,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2523,EXTL,IUPO,008,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2524,EXTL,IUPO,009,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2525,EXTL,IUPO,010,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2527,EXTL,IUPO,011,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2526,EXTL,IUPO,012,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2358,EXTL,LAPO,001,Leave of Absence,0.000,"Leave of Absence-Phys & Occ Th",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2328,EXTL,TAPO,001,Term Away,0.000,"Term Away-Phys & Occ Therapy",TBA,TBA,999,0,0,0,TBA,01/05-04/14,TBA,Active
Occupational Therapy
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
11209,OCC1,501,001,Practicum,7.000,"Clinical Practicum 1.",,TBA,10,0,0,0,"Caroline  Storr, Susanne  Mak",01/05-04/14,TBA,Active
11210,OCC1,502,001,Practicum,7.000,"Clinical Practicum 2.",,TBA,10,0,0,0,"Caroline  Storr, Susanne  Mak",01/05-04/14,TBA,Active
7905,OCC1,503,001,Practicum,7.000,"Clinical Practicum 3.",,TBA,71,0,0,0,"Caroline  Storr, Susanne  Mak",01/05-04/14,TBA,Active
7172,OCC1,547,001,Lecture,6.000,"Occupational Solutions 1.",MW,02:35 PM-05:25 PM,80,0,0,0,"Cynthia  Perlman, Franzina  Coutinho, Sara Lizabeth Saunders",01/05-04/14,MCMED 206/7,Active
7171,OCC1,547,002,Laboratory,0.000,"Occupational Solutions 1.",M,02:35 PM-05:25 PM,80,0,0,0,"Cynthia  Perlman, Franzina  Coutinho, Sara Lizabeth Saunders",01/05-04/14,MCMED 206/7,Active
