External
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
2357,EXTL,LAPD,001,Leave of Absence,0.000,"Leave of Absence-Post Doc",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
Postdoctoral
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
14153,PDOC,PDOC,001,Registration Crs Open Learning,0.000,"1 Week Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14154,PDOC,PDOC,002,Registration Crs Open Learning,0.000,"2 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14155,PDOC,PDOC,003,Registration Crs Open Learning,0.000,"3 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14180,PDOC,PDOC,004,Registration Crs Open Learning,0.000,"4 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14181,PDOC,PDOC,005,Registration Crs Open Learning,0.000,"5 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14182,PDOC,PDOC,006,Registration Crs Open Learning,0.000,"6 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14183,PDOC,PDOC,007,Registration Crs Open Learning,0.000,"7 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14184,PDOC,PDOC,008,Registration Crs Open Learning,0.000,"8 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14185,PDOC,PDOC,009,Registration Crs Open Learning,0.000,"9 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14186,PDOC,PDOC,010,Registration Crs Open Learning,0.000,"10 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14187,PDOC,PDOC,011,Registration Crs Open Learning,0.000,"11 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14188,PDOC,PDOC,012,Registration Crs Open Learning,0.000,"12 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14189,PDOC,PDOC,013,Registration Crs Open Learning,0.000,"13 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14190,PDOC,PDOC,014,Registration Crs Open Learning,0.000,"14 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14191,PDOC,PDOC,015,Registration Crs Open Learning,0.000,"15 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14192,PDOC,PDOC,016,Registration Crs Open Learning,0.000,"16 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
14193,PDOC,PDOC,017,Registration Crs Open Learning,0.000,"17 Weeks Postdoctoral Research",TBA,TBA,700,0,0,0,TBA,-,TBA,Active
