Anatomy & Cell Biology
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
8482,ANAT,182,001,Lecture,3.000,"Astrobiology.",MTR,02:35 PM-03:25 PM,75,0,0,0,"Hojatollah  Vali",01/05-04/13,SADB 2/36,Active
770,ANAT,212,001,Lecture,3.000,"Molecular Mechanisms of Cell Function.",MWF,10:35 AM-11:25 AM,200,0,0,0,"Arnim  Pause",01/05-01/29,MCMED 522,Active
,,,,,,,F,10:35 AM-11:25 AM,,,,,"Arnim  Pause",01/30-01/30,STBIO S1/4,Active
,,,,,,,MWF,10:35 AM-11:25 AM,,,,,"Arnim  Pause",01/31-04/14,MCMED 522,Active
,,,,,,,T,10:35 AM-11:25 AM,,,,,"Arnim  Pause",04/14-04/14,MCMED 522,Active
771,ANAT,262,001,Lecture,3.000,"Introductory Molecular and Cell Biology.",TR,08:35 AM-09:55 AM,325,0,0,0,"John  Presley",01/05-04/13,ADAMS AUD,Active
12271,ANAT,262,002,Midterm Exam,0.000,"Introductory Molecular and Cell Biology.",T,06:05 PM-08:55 PM,0,0,0,0,TBA,03/10-03/10,MCMED 504,Registration Not Required
,,,,,,,T,06:05 PM-08:55 PM,,,,,TBA,03/10-03/10,MCMED 522,Registration Not Required
772,ANAT,316,001,Lecture,3.000,"Human Visceral Anatomy.",WF,04:35 PM-05:25 PM,200,0,0,0,"Louis  Hermo",01/05-04/14,SADB M-1,Active
,,,,,,,T,04:35 PM-05:25 PM,,,,,"Louis  Hermo",04/14-04/14,SADB M-1,Active
775,ANAT,316,002,Laboratory,0.000,"Human Visceral Anatomy.",T,09:35 AM-11:25 AM,85,0,0,0,"Louis  Hermo",01/05-04/13,SADB 2/49,Active
13089,ANAT,316,003,Laboratory,0.000,"Human Visceral Anatomy.",M,09:35 AM-11:25 AM,84,0,0,0,"Louis  Hermo",01/05-04/14,SADB 2/49,Active
5715,ANAT,322,001,Lecture,3.000,"Neuroendocrinology.",T,03:35 PM-05:25 PM,135,0,0,0,"Claire Dominique Walker",01/05-04/13,SADB 2/36,Active
,,,,,,,R,08:35 AM-09:25 AM,,,,,"Claire Dominique Walker",01/05-04/14,SADB 2/36,Active
,,,,,,,T,03:05 PM-05:55 PM,,,,,"Claire Dominique Walker",02/10-02/10,MCMED 504,Active
12263,ANAT,322,003,Midterm Exam,0.000,"Neuroendocrinology.",TBA,TBA,0,0,0,0,TBA,01/05-04/14,TBA,Registration Not Required
6442,ANAT,396,001,Project,3.000,"Undergraduate Research Project.",,TBA,20,0,0,0,"Craig A.  Mandato",01/05-04/14,TBA,Active
7871,ANAT,416,001,Lecture,3.000,"Development, Disease and Regeneration.",TR,10:05 AM-11:25 AM,135,0,0,0,"Eugene  Daniels",01/05-04/13,SADB 2/36,Active
848,ANAT,432D2,001,Project,4.500,"Honours Research Project.",,TBA,25,0,0,0,"Isabelle  Rouiller",01/05-04/14,TBA,Active
780,ANAT,458,001,Lecture,3.000,"Membranes and Cellular Signaling.",MWF,08:35 AM-09:25 AM,40,0,0,0,TBA,01/05-04/14,EDUC 129,Active
,,,,,,,T,08:35 AM-09:25 AM,,,,,TBA,04/14-04/14,EDUC 129,Active
3961,ANAT,499,001,Tutorial,1.000,"Supervised Library Research.",,TBA,5,0,0,0,"Craig A.  Mandato",01/05-04/14,TBA,Active
781,ANAT,541,001,Lecture,3.000,"Cell and Molecular Biology of Aging.",F,02:35 PM-05:25 PM,35,0,0,0,"Stephanie  Lehoux, Chantal  Autexier",01/05-04/14,SADB 2/36,Active
,,,,,,,T,02:35 PM-05:25 PM,,,,,"Stephanie  Lehoux, Chantal  Autexier",04/14-04/14,SADB 2/36,Active
8084,ANAT,542,001,Lecture,3.000,"Transmission Electron Microscopy.",TR,08:35 AM-09:25 AM,10,0,0,0,"Isabelle  Rouiller",01/05-04/13,ENGMC 11,Active
8089,ANAT,542,002,Laboratory,0.000,"Transmission Electron Microscopy.",W,02:35 PM-04:25 PM,10,0,0,0,"Isabelle  Rouiller",01/05-04/14,TBA,Active
14315,ANAT,542,003,Optional Tutorial,0.000,"Transmission Electron Microscopy.",TBA,TBA,20,0,0,0,TBA,01/05-04/14,TBA,Active
10852,ANAT,565,001,Lecture,3.000,"Diseases-Membrane Trafficking.",M,11:35 AM-02:25 PM,20,0,0,0,"John  Presley",01/05-04/14,SADB 2/36,Active
Atmospheric & Oceanic Sciences
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
8463,ATOC,181,001,Lecture,3.000,"Introduction to Atmospheric Science.",MW,08:35 AM-09:55 AM,125,0,0,0,"Andreas  Zuend",01/05-04/14,MAASS 10,Active
8462,ATOC,182,001,Lecture,3.000,"Introduction to Oceanic Sciences.",TR,01:05 PM-02:25 PM,70,0,0,0,"David Samuel Trossman",01/05-04/13,BURN 1B36,Active
14352,ATOC,183,001,Lecture,3.000,"Climate and Climate Change.",TR,02:35 PM-03:55 PM,130,0,0,0,"Timothy M. Merlis",01/05-04/13,ARTS W-120,Active
8460,ATOC,184,001,Lecture,3.000,"Science of Storms.",TR,11:35 AM-12:55 PM,260,0,0,0,"John Richard  Gyakum",01/05-04/13,STBIO S1/4,Active
360,ATOC,215,001,Lecture,3.000,"Oceans, Weather and Climate.",MWF,08:35 AM-09:25 AM,55,0,0,0,"Man K  Yau",01/05-04/14,BURN 1B36,Active
,,,,,,,T,08:35 AM-09:25 AM,,,,,"Man K  Yau",04/14-04/14,BURN 1B36,Active
4437,ATOC,219,001,Lecture,3.000,"Introduction to Atmospheric Chemistry.",TRF,10:35 AM-11:25 AM,50,0,0,0,"Thomas Colin Preston",01/05-04/14,MAASS 10,Active
3117,ATOC,309,001,Lecture,3.000,"Weather Radars and Satellites.",MWF,10:35 AM-11:25 AM,30,0,0,0,"Yi  Huang, Frederic  Fabry",01/05-04/14,BURN 708,Active
,,,,,,,T,10:35 AM-11:25 AM,,,,,"Yi  Huang, Frederic  Fabry",04/14-04/14,BURN 708,Active
13563,ATOC,357,001,Lecture,3.000,"Atmospheric and Oceanic Science Laboratory.",T,02:35 PM-05:25 PM,12,0,0,0,"Daniel Joseph Kirshbaum, Gregor Peter Kos",01/05-04/13,BURN 719A,Active
13588,ATOC,357,002,Laboratory,0.000,"Atmospheric and Oceanic Science Laboratory.",T,02:35 PM-05:25 PM,12,0,0,0,TBA,01/05-04/13,TBA,Active
5145,ATOC,396,001,Project,3.000,"Undergraduate Research Project.",TBA,TBA,5,0,0,0,TBA,01/05-04/14,TBA,Active
3123,ATOC,419,001,Lecture,3.000,"Advances in Chemistry of Atmosphere.",MW,11:35 AM-12:55 PM,5,0,0,0,"Gregor Peter Kos",01/05-04/14,BURN 708,Cancelled
364,ATOC,480,001,Project,3.000,"Honours Research Project.",,TBA,10,0,0,0,TBA,01/05-04/14,TBA,Active
724,ATOC,513,001,Lecture,3.000,"Waves and Stability.",MW,10:05 AM-11:25 AM,25,0,0,0,"Timothy M. Merlis",01/05-04/14,BURN 719A,Active
14545,ATOC,515,001,Lecture,3.000,"Turbulence in Atmosphere and Oceans.",MW,01:05 PM-02:25 PM,0,0,0,0,"David N  Straub",01/05-04/14,BURN 719A,Active
14546,ATOC,525,001,Lecture,3.000,"Atmospheric Radiation.",TR,03:05 PM-04:25 PM,20,0,0,0,"Yi  Huang",01/05-04/13,BURN 708,Active
729,ATOC,531,001,Lecture,3.000,"Dynamics of Current Climates.",TR,10:05 AM-11:25 AM,25,0,0,0,"Bruno  Tremblay",01/05-04/13,BURN 719A,Active
2303,ATOC,541,001,Lecture,3.000,"Synoptic Meteorology 2.",TR,11:35 AM-01:25 PM,30,0,0,0,"Eyad Hashem  Atallah",01/05-04/13,BURN 708,Active
7166,ATOC,546,001,Lecture,1.000,"Current Weather Discussion.",MW,08:35 AM-09:55 AM,25,0,0,0,"Eyad Hashem  Atallah",01/05-04/14,BURN 719A,Active
6989,ATOC,558,001,Lecture,3.000,"Numerical Methods and Laboratory.",MW,08:35 AM-09:55 AM,15,0,0,0,"Daniel Joseph Kirshbaum",01/05-04/14,BURN 934,Cancelled
4572,ATOC,568,001,Lecture,3.000,"Ocean Physics.",MW,10:25 AM-11:55 AM,20,0,0,0,"David N  Straub",01/05-04/14,BURN 934,Cancelled
Biochemistry
